Date,Prediction,Actual,Delta,Comment
2017-04-05,17.0,16.0,1.0,Over-Predicted
2017-04-06,13.0,13.0,0.0,Predicted
2017-04-07,34.0,35.0,-1.0,Under-Predicted
2017-04-08,35.0,35.0,0.0,Predicted
2017-04-09,10.0,10.0,0.0,Predicted
2017-04-10,40.0,23.0,17.0,Over-Predicted
2017-04-11,0.0,19.0,-19.0,Under-Predicted
2017-04-12,23.0,18.0,5.0,Over-Predicted
2017-04-13,29.0,29.0,0.0,Predicted
2017-04-14,31.0,24.0,7.0,Over-Predicted
2017-04-15,19.0,21.0,-2.0,Under-Predicted
2017-04-16,33.0,39.0,-6.0,Under-Predicted
2017-04-17,5.0,16.0,-11.0,Under-Predicted
2017-04-18,35.0,35.0,0.0,Predicted
2017-04-19,43.0,16.0,27.0,Over-Predicted
2017-04-20,11.0,10.0,1.0,Over-Predicted
2017-04-21,22.0,18.0,4.0,Over-Predicted
2017-04-22,23.0,23.0,0.0,Predicted
2017-04-23,9.0,6.0,3.0,Over-Predicted
2017-04-24,12.0,12.0,0.0,Predicted
2017-04-25,44.0,25.0,19.0,Over-Predicted
2017-04-26,21.0,21.0,0.0,Predicted
2017-04-27,21.0,21.0,0.0,Predicted
2017-04-28,28.0,20.0,8.0,Over-Predicted
2017-04-29,13.0,20.0,-7.0,Under-Predicted
2017-04-30,1.0,31.0,-30.0,Under-Predicted
2017-05-01,37.0,34.0,3.0,Over-Predicted
2017-05-02,2.0,19.0,-17.0,Under-Predicted
2017-05-03,23.0,23.0,0.0,Predicted
2017-05-04,31.0,31.0,0.0,Predicted
2017-05-05,4.0,30.0,-26.0,Under-Predicted
2017-05-06,20.0,25.0,-5.0,Under-Predicted
2017-05-07,39.0,26.0,13.0,Over-Predicted
2017-05-08,28.0,28.0,0.0,Predicted
2017-05-09,15.0,15.0,0.0,Predicted
2017-05-10,39.0,39.0,0.0,Predicted
2017-05-11,23.0,23.0,0.0,Predicted
2017-05-12,20.0,20.0,0.0,Predicted
2017-05-13,22.0,29.0,-7.0,Under-Predicted
2017-05-14,35.0,35.0,0.0,Predicted
2017-05-15,36.0,36.0,0.0,Predicted
2017-05-16,7.0,29.0,-22.0,Under-Predicted
2017-05-17,13.0,13.0,0.0,Predicted
2017-05-18,28.0,25.0,3.0,Over-Predicted
2017-05-19,35.0,35.0,0.0,Predicted
2017-05-20,36.0,41.0,-5.0,Under-Predicted
2017-05-21,14.0,14.0,0.0,Predicted
2017-05-22,24.0,24.0,0.0,Predicted
2017-05-23,11.0,11.0,0.0,Predicted
2017-05-24,24.0,24.0,0.0,Predicted
2017-05-25,14.0,14.0,0.0,Predicted
2017-05-26,19.0,19.0,0.0,Predicted
2017-05-27,27.0,27.0,0.0,Predicted
2017-05-28,0.0,28.0,-28.0,Under-Predicted
2017-05-29,24.0,23.0,1.0,Over-Predicted
2017-05-30,10.0,30.0,-20.0,Under-Predicted
2017-05-31,15.0,15.0,0.0,Predicted
2017-06-01,46.0,55.0,-9.0,Under-Predicted
2017-06-02,11.0,7.0,4.0,Over-Predicted
2017-06-03,29.0,22.0,7.0,Over-Predicted
2017-06-04,0.0,10.0,-10.0,Under-Predicted
2017-06-05,21.0,21.0,0.0,Predicted
2017-06-06,4.0,15.0,-11.0,Under-Predicted
2017-06-07,18.0,18.0,0.0,Predicted
2017-06-08,20.0,21.0,-1.0,Under-Predicted
2017-06-09,0.0,12.0,-12.0,Under-Predicted
2017-06-10,27.0,27.0,0.0,Predicted
2017-06-11,21.0,21.0,0.0,Predicted
2017-06-12,28.0,28.0,0.0,Predicted
2017-06-13,44.0,44.0,0.0,Predicted
2017-06-14,0.0,21.0,-21.0,Under-Predicted
2017-06-15,11.0,11.0,0.0,Predicted
2017-06-16,8.0,4.0,4.0,Over-Predicted
2017-06-17,26.0,18.0,8.0,Over-Predicted
2017-06-18,13.0,22.0,-9.0,Under-Predicted
2017-06-19,45.0,34.0,11.0,Over-Predicted
2017-06-20,30.0,30.0,0.0,Predicted
2017-06-21,30.0,27.0,3.0,Over-Predicted
2017-06-22,45.0,16.0,29.0,Over-Predicted
2017-06-23,22.0,22.0,0.0,Predicted
2017-06-24,51.0,41.0,10.0,Over-Predicted
2017-06-25,10.0,10.0,0.0,Predicted
2017-06-26,4.0,22.0,-18.0,Under-Predicted
2017-06-27,25.0,25.0,0.0,Predicted
2017-06-28,22.0,22.0,0.0,Predicted
2017-06-29,15.0,15.0,0.0,Predicted
2017-06-30,28.0,27.0,1.0,Over-Predicted
2017-07-01,46.0,41.0,5.0,Over-Predicted
2017-07-02,23.0,23.0,0.0,Predicted
2017-07-03,17.0,26.0,-9.0,Under-Predicted
2017-07-04,44.0,44.0,0.0,Predicted
2017-07-05,27.0,27.0,0.0,Predicted
2017-07-06,20.0,20.0,0.0,Predicted
2017-07-07,20.0,20.0,0.0,Predicted
2017-07-08,23.0,23.0,0.0,Predicted
2017-07-09,24.0,24.0,0.0,Predicted
2017-07-10,20.0,20.0,0.0,Predicted
2017-07-11,26.0,19.0,7.0,Over-Predicted
2017-07-12,31.0,31.0,0.0,Predicted
2017-07-13,27.0,25.0,2.0,Over-Predicted
2017-07-14,18.0,18.0,0.0,Predicted
2017-07-15,31.0,31.0,0.0,Predicted
2017-07-16,22.0,22.0,0.0,Predicted
2017-07-17,46.0,32.0,14.0,Over-Predicted
2017-07-18,16.0,28.0,-12.0,Under-Predicted
2017-07-19,24.0,24.0,0.0,Predicted
2017-07-20,5.0,5.0,0.0,Predicted
2017-07-21,28.0,28.0,0.0,Predicted
2017-07-22,11.0,20.0,-9.0,Under-Predicted
2017-07-23,37.0,26.0,11.0,Over-Predicted
2017-07-24,31.0,35.0,-4.0,Under-Predicted
2017-07-25,18.0,18.0,0.0,Predicted
2017-07-26,35.0,35.0,0.0,Predicted
2017-07-27,37.0,37.0,0.0,Predicted
2017-07-28,38.0,38.0,0.0,Predicted
2017-07-29,6.0,27.0,-21.0,Under-Predicted
2017-07-30,23.0,16.0,7.0,Over-Predicted
2017-07-31,23.0,15.0,8.0,Over-Predicted
2017-08-01,26.0,26.0,0.0,Predicted
2017-08-02,34.0,31.0,3.0,Over-Predicted
2017-08-03,22.0,23.0,-1.0,Under-Predicted
2017-08-04,28.0,28.0,0.0,Predicted
2017-08-05,20.0,20.0,0.0,Predicted
2017-08-06,9.0,28.0,-19.0,Under-Predicted
2017-08-07,21.0,21.0,0.0,Predicted
2017-08-08,36.0,36.0,0.0,Predicted
2017-08-09,40.0,36.0,4.0,Over-Predicted
2017-08-10,36.0,36.0,0.0,Predicted
2017-08-11,4.0,30.0,-26.0,Under-Predicted
2017-08-12,42.0,30.0,12.0,Over-Predicted
2017-08-13,33.0,33.0,0.0,Predicted
2017-08-14,0.0,17.0,-17.0,Under-Predicted
2017-08-15,34.0,34.0,0.0,Predicted
2017-08-16,41.0,41.0,0.0,Predicted
2017-08-17,15.0,15.0,0.0,Predicted
2017-08-18,28.0,24.0,4.0,Over-Predicted
2017-08-19,46.0,38.0,8.0,Over-Predicted
2017-08-20,31.0,34.0,-3.0,Under-Predicted
2017-08-21,17.0,30.0,-13.0,Under-Predicted
2017-08-22,27.0,24.0,3.0,Over-Predicted
2017-08-23,28.0,28.0,0.0,Predicted
2017-08-24,10.0,10.0,0.0,Predicted
2017-08-25,13.0,13.0,0.0,Predicted
2017-08-26,5.0,36.0,-31.0,Under-Predicted
2017-08-27,16.0,16.0,0.0,Predicted
2017-08-28,20.0,20.0,0.0,Predicted
2017-08-29,18.0,19.0,-1.0,Under-Predicted
2017-08-30,31.0,31.0,0.0,Predicted
2017-08-31,25.0,30.0,-5.0,Under-Predicted
2017-09-01,18.0,27.0,-9.0,Under-Predicted
2017-09-02,21.0,23.0,-2.0,Under-Predicted
2017-09-03,24.0,24.0,0.0,Predicted
2017-09-04,29.0,29.0,0.0,Predicted
2017-09-05,19.0,13.0,6.0,Over-Predicted
2017-09-06,30.0,34.0,-4.0,Under-Predicted
2017-09-07,32.0,27.0,5.0,Over-Predicted
2017-09-08,19.0,19.0,0.0,Predicted
2017-09-09,35.0,30.0,5.0,Over-Predicted
2017-09-10,26.0,26.0,0.0,Predicted
2017-09-11,8.0,19.0,-11.0,Under-Predicted
2017-09-12,31.0,31.0,0.0,Predicted
2017-09-13,17.0,26.0,-9.0,Under-Predicted
2017-09-14,36.0,36.0,0.0,Predicted
2017-09-15,22.0,22.0,0.0,Predicted
2017-09-16,45.0,45.0,0.0,Predicted
2017-09-17,35.0,35.0,0.0,Predicted
2017-09-18,20.0,19.0,1.0,Over-Predicted
2017-09-19,41.0,47.0,-6.0,Under-Predicted
2017-09-20,46.0,34.0,12.0,Over-Predicted
2017-09-21,32.0,27.0,5.0,Over-Predicted
2017-09-22,30.0,30.0,0.0,Predicted
2017-09-23,18.0,27.0,-9.0,Under-Predicted
2017-09-24,33.0,30.0,3.0,Over-Predicted
2017-09-25,47.0,47.0,0.0,Predicted
2017-09-26,34.0,33.0,1.0,Over-Predicted
2017-09-27,36.0,35.0,1.0,Over-Predicted
2017-09-28,19.0,19.0,0.0,Predicted
2017-09-29,36.0,43.0,-7.0,Under-Predicted
2017-09-30,17.0,18.0,-1.0,Under-Predicted
2017-10-01,29.0,22.0,7.0,Over-Predicted
2017-10-02,19.0,29.0,-10.0,Under-Predicted
2017-10-03,39.0,31.0,8.0,Over-Predicted
2017-10-04,18.0,8.0,10.0,Over-Predicted
2017-10-05,31.0,44.0,-13.0,Under-Predicted
2017-10-06,27.0,27.0,0.0,Predicted
2017-10-07,27.0,26.0,1.0,Over-Predicted
2017-10-08,28.0,27.0,1.0,Over-Predicted
2017-10-09,34.0,34.0,0.0,Predicted
2017-10-10,9.0,33.0,-24.0,Under-Predicted
2017-10-11,21.0,20.0,1.0,Over-Predicted
2017-10-12,6.0,30.0,-24.0,Under-Predicted
2017-10-13,14.0,14.0,0.0,Predicted
2017-10-14,27.0,36.0,-9.0,Under-Predicted
2017-10-15,48.0,39.0,9.0,Over-Predicted
2017-10-16,38.0,38.0,0.0,Predicted
2017-10-17,19.0,27.0,-8.0,Under-Predicted
2017-10-18,11.0,17.0,-6.0,Under-Predicted
2017-10-19,31.0,31.0,0.0,Predicted
2017-10-20,24.0,30.0,-6.0,Under-Predicted
2017-10-21,17.0,17.0,0.0,Predicted
2017-10-22,23.0,23.0,0.0,Predicted
2017-10-23,17.0,29.0,-12.0,Under-Predicted
2017-10-24,15.0,15.0,0.0,Predicted
2017-10-25,14.0,35.0,-21.0,Under-Predicted
2017-10-26,0.0,7.0,-7.0,Under-Predicted
2017-10-27,17.0,23.0,-6.0,Under-Predicted
2017-10-28,22.0,22.0,0.0,Predicted
2017-10-29,14.0,14.0,0.0,Predicted
2017-10-30,31.0,31.0,0.0,Predicted
2017-10-31,38.0,38.0,0.0,Predicted
2017-11-01,39.0,45.0,-6.0,Under-Predicted
2017-11-02,32.0,32.0,0.0,Predicted
2017-11-03,28.0,28.0,0.0,Predicted
2017-11-04,34.0,41.0,-7.0,Under-Predicted
2017-11-05,12.0,31.0,-19.0,Under-Predicted
2017-11-06,26.0,26.0,0.0,Predicted
2017-11-07,23.0,23.0,0.0,Predicted
2017-11-08,36.0,36.0,0.0,Predicted
2017-11-09,6.0,19.0,-13.0,Under-Predicted
2017-11-10,32.0,29.0,3.0,Over-Predicted
2017-11-11,20.0,24.0,-4.0,Under-Predicted
2017-11-12,11.0,26.0,-15.0,Under-Predicted
2017-11-13,41.0,34.0,7.0,Over-Predicted
2017-11-14,20.0,19.0,1.0,Over-Predicted
2017-11-15,23.0,23.0,0.0,Predicted
2017-11-16,33.0,33.0,0.0,Predicted
2017-11-17,17.0,13.0,4.0,Over-Predicted
2017-11-18,0.0,27.0,-27.0,Under-Predicted
2017-11-19,23.0,26.0,-3.0,Under-Predicted
2017-11-20,27.0,28.0,-1.0,Under-Predicted
2017-11-21,12.0,29.0,-17.0,Under-Predicted
2017-11-22,31.0,31.0,0.0,Predicted
2017-11-23,12.0,19.0,-7.0,Under-Predicted
2017-11-24,17.0,12.0,5.0,Over-Predicted
2017-11-25,33.0,22.0,11.0,Over-Predicted
2017-11-26,23.0,23.0,0.0,Predicted
2017-11-27,23.0,23.0,0.0,Predicted
2017-11-28,25.0,27.0,-2.0,Under-Predicted
2017-11-29,22.0,28.0,-6.0,Under-Predicted
2017-11-30,31.0,40.0,-9.0,Under-Predicted
2017-12-01,19.0,31.0,-12.0,Under-Predicted
2017-12-02,15.0,17.0,-2.0,Under-Predicted
2017-12-03,22.0,22.0,0.0,Predicted
2017-12-04,26.0,18.0,8.0,Over-Predicted
2017-12-05,28.0,28.0,0.0,Predicted
2017-12-06,23.0,23.0,0.0,Predicted
2017-12-07,28.0,28.0,0.0,Predicted
2017-12-08,28.0,28.0,0.0,Predicted
2017-12-09,13.0,13.0,0.0,Predicted
2017-12-10,0.0,33.0,-33.0,Under-Predicted
2017-12-11,46.0,46.0,0.0,Predicted
2017-12-12,17.0,24.0,-7.0,Under-Predicted
2017-12-13,29.0,29.0,0.0,Predicted
2017-12-14,14.0,18.0,-4.0,Under-Predicted
2017-12-15,28.0,25.0,3.0,Over-Predicted
2017-12-16,24.0,25.0,-1.0,Under-Predicted
2017-12-17,0.0,3.0,-3.0,Under-Predicted
2017-12-18,21.0,25.0,-4.0,Under-Predicted
2017-12-19,20.0,10.0,10.0,Over-Predicted
2017-12-20,25.0,25.0,0.0,Predicted
2017-12-21,32.0,24.0,8.0,Over-Predicted
2017-12-22,18.0,17.0,1.0,Over-Predicted
2017-12-23,33.0,24.0,9.0,Over-Predicted
2017-12-24,12.0,12.0,0.0,Predicted
2017-12-25,23.0,26.0,-3.0,Under-Predicted
2017-12-26,25.0,25.0,0.0,Predicted
2017-12-27,61.0,61.0,0.0,Predicted
2017-12-28,27.0,27.0,0.0,Predicted
2017-12-29,50.0,39.0,11.0,Over-Predicted
2017-12-30,21.0,15.0,6.0,Over-Predicted
2017-12-31,23.0,23.0,0.0,Predicted
2018-01-01,35.0,41.0,-6.0,Under-Predicted
2018-01-02,15.0,12.0,3.0,Over-Predicted
2018-01-03,32.0,23.0,9.0,Over-Predicted
2018-01-04,40.0,33.0,7.0,Over-Predicted
2018-01-05,22.0,25.0,-3.0,Under-Predicted
2018-01-06,21.0,21.0,0.0,Predicted
2018-01-07,12.0,10.0,2.0,Over-Predicted
2018-01-08,29.0,29.0,0.0,Predicted
2018-01-09,44.0,44.0,0.0,Predicted
2018-01-10,35.0,28.0,7.0,Over-Predicted
2018-01-11,23.0,23.0,0.0,Predicted
2018-01-12,15.0,20.0,-5.0,Under-Predicted
2018-01-13,0.0,21.0,-21.0,Under-Predicted
2018-01-14,7.0,35.0,-28.0,Under-Predicted
2018-01-15,22.0,25.0,-3.0,Under-Predicted
2018-01-16,28.0,28.0,0.0,Predicted
2018-01-17,18.0,10.0,8.0,Over-Predicted
2018-01-18,33.0,33.0,0.0,Predicted
2018-01-19,28.0,28.0,0.0,Predicted
2018-01-20,45.0,36.0,9.0,Over-Predicted
2018-01-21,27.0,15.0,12.0,Over-Predicted
2018-01-22,34.0,34.0,0.0,Predicted
2018-01-23,39.0,39.0,0.0,Predicted
2018-01-24,12.0,27.0,-15.0,Under-Predicted
2018-01-25,12.0,14.0,-2.0,Under-Predicted
2018-01-26,7.0,15.0,-8.0,Under-Predicted
2018-01-27,0.0,6.0,-6.0,Under-Predicted
2018-01-28,41.0,35.0,6.0,Over-Predicted
2018-01-29,15.0,24.0,-9.0,Under-Predicted
2018-01-30,43.0,43.0,0.0,Predicted
2018-01-31,30.0,30.0,0.0,Predicted
2018-02-01,14.0,14.0,0.0,Predicted
2018-02-02,15.0,16.0,-1.0,Under-Predicted
2018-02-03,14.0,9.0,5.0,Over-Predicted
2018-02-04,29.0,25.0,4.0,Over-Predicted
2018-02-05,27.0,31.0,-4.0,Under-Predicted
2018-02-06,26.0,26.0,0.0,Predicted
2018-02-07,37.0,37.0,0.0,Predicted
2018-02-08,24.0,35.0,-11.0,Under-Predicted
2018-02-09,10.0,19.0,-9.0,Under-Predicted
2018-02-10,13.0,22.0,-9.0,Under-Predicted
2018-02-11,30.0,30.0,0.0,Predicted
2018-02-12,27.0,27.0,0.0,Predicted
2018-02-13,46.0,32.0,14.0,Over-Predicted
2018-02-14,21.0,25.0,-4.0,Under-Predicted
2018-02-15,18.0,18.0,0.0,Predicted
2018-02-16,31.0,34.0,-3.0,Under-Predicted
2018-02-17,0.0,13.0,-13.0,Under-Predicted
2018-02-18,30.0,8.0,22.0,Over-Predicted
2018-02-19,22.0,13.0,9.0,Over-Predicted
2018-02-20,42.0,42.0,0.0,Predicted
2018-02-21,27.0,27.0,0.0,Predicted
2018-02-22,28.0,35.0,-7.0,Under-Predicted
2018-02-23,25.0,25.0,0.0,Predicted
2018-02-24,22.0,23.0,-1.0,Under-Predicted
2018-02-25,33.0,33.0,0.0,Predicted
2018-02-26,17.0,17.0,0.0,Predicted
2018-02-27,24.0,24.0,0.0,Predicted
2018-02-28,19.0,26.0,-7.0,Under-Predicted
2018-03-01,0.0,19.0,-19.0,Under-Predicted
2018-03-02,15.0,15.0,0.0,Predicted
2018-03-03,35.0,35.0,0.0,Predicted
2018-03-04,25.0,36.0,-11.0,Under-Predicted
2018-03-05,19.0,26.0,-7.0,Under-Predicted
2018-03-06,0.0,20.0,-20.0,Under-Predicted
2018-03-07,23.0,23.0,0.0,Predicted
2018-03-08,8.0,36.0,-28.0,Under-Predicted
2018-03-09,30.0,30.0,0.0,Predicted
2018-03-10,41.0,26.0,15.0,Over-Predicted
2018-03-11,25.0,25.0,0.0,Predicted
2018-03-12,12.0,20.0,-8.0,Under-Predicted
2018-03-13,30.0,30.0,0.0,Predicted
2018-03-14,34.0,44.0,-10.0,Under-Predicted
2018-03-15,35.0,35.0,0.0,Predicted
2018-03-16,27.0,26.0,1.0,Over-Predicted
2018-03-17,4.0,15.0,-11.0,Under-Predicted
2018-03-18,29.0,33.0,-4.0,Under-Predicted
2018-03-19,15.0,25.0,-10.0,Under-Predicted
2018-03-20,29.0,29.0,0.0,Predicted
2018-03-21,0.0,16.0,-16.0,Under-Predicted
2018-03-22,16.0,16.0,0.0,Predicted
2018-03-23,29.0,29.0,0.0,Predicted
2018-03-24,7.0,7.0,0.0,Predicted
2018-03-25,24.0,24.0,0.0,Predicted
2018-03-26,37.0,39.0,-2.0,Under-Predicted
2018-03-27,27.0,27.0,0.0,Predicted
2018-03-28,3.0,44.0,-41.0,Under-Predicted
2018-03-29,14.0,14.0,0.0,Predicted
2018-03-30,1.0,32.0,-31.0,Under-Predicted
2018-03-31,25.0,17.0,8.0,Over-Predicted
2018-04-01,41.0,29.0,12.0,Over-Predicted
2018-04-02,37.0,36.0,1.0,Over-Predicted
2018-04-03,24.0,26.0,-2.0,Under-Predicted
2018-04-04,42.0,39.0,3.0,Over-Predicted
2018-04-05,24.0,24.0,0.0,Predicted
2018-04-06,35.0,35.0,0.0,Predicted
2018-04-07,16.0,29.0,-13.0,Under-Predicted
2018-04-08,4.0,34.0,-30.0,Under-Predicted
2018-04-09,18.0,31.0,-13.0,Under-Predicted
2018-04-10,0.0,3.0,-3.0,Under-Predicted
2018-04-11,11.0,21.0,-10.0,Under-Predicted
2018-04-12,28.0,28.0,0.0,Predicted
2018-04-13,7.0,15.0,-8.0,Under-Predicted
2018-04-14,28.0,28.0,0.0,Predicted
2018-04-15,29.0,29.0,0.0,Predicted
2018-04-16,21.0,22.0,-1.0,Under-Predicted
2018-04-17,28.0,28.0,0.0,Predicted
2018-04-18,16.0,16.0,0.0,Predicted
2018-04-19,20.0,20.0,0.0,Predicted
2018-04-20,39.0,30.0,9.0,Over-Predicted
2018-04-21,23.0,30.0,-7.0,Under-Predicted
2018-04-22,4.0,20.0,-16.0,Under-Predicted
2018-04-23,19.0,19.0,0.0,Predicted
2018-04-24,33.0,38.0,-5.0,Under-Predicted
2018-04-25,13.0,13.0,0.0,Predicted
2018-04-26,16.0,31.0,-15.0,Under-Predicted
2018-04-27,3.0,12.0,-9.0,Under-Predicted
2018-04-28,35.0,35.0,0.0,Predicted
2018-04-29,0.0,12.0,-12.0,Under-Predicted
2018-04-30,30.0,30.0,0.0,Predicted
2018-05-01,31.0,31.0,0.0,Predicted
2018-05-02,21.0,21.0,0.0,Predicted
2018-05-03,25.0,28.0,-3.0,Under-Predicted
2018-05-04,28.0,28.0,0.0,Predicted
2018-05-05,30.0,13.0,17.0,Over-Predicted
2018-05-06,26.0,26.0,0.0,Predicted
2018-05-07,26.0,32.0,-6.0,Under-Predicted
2018-05-08,45.0,40.0,5.0,Over-Predicted
2018-05-09,17.0,17.0,0.0,Predicted
2018-05-10,17.0,21.0,-4.0,Under-Predicted
2018-05-11,40.0,40.0,0.0,Predicted
2018-05-12,22.0,35.0,-13.0,Under-Predicted
2018-05-13,30.0,30.0,0.0,Predicted
2018-05-14,7.0,27.0,-20.0,Under-Predicted
2018-05-15,22.0,28.0,-6.0,Under-Predicted
2018-05-16,40.0,40.0,0.0,Predicted
2018-05-17,40.0,35.0,5.0,Over-Predicted
2018-05-18,28.0,25.0,3.0,Over-Predicted
2018-05-19,9.0,15.0,-6.0,Under-Predicted
2018-05-20,6.0,13.0,-7.0,Under-Predicted
2018-05-21,23.0,23.0,0.0,Predicted
2018-05-22,23.0,23.0,0.0,Predicted
2018-05-23,31.0,31.0,0.0,Predicted
2018-05-24,9.0,9.0,0.0,Predicted
2018-05-25,15.0,15.0,0.0,Predicted
2018-05-26,16.0,15.0,1.0,Over-Predicted
2018-05-27,26.0,25.0,1.0,Over-Predicted
2018-05-28,28.0,16.0,12.0,Over-Predicted
2018-05-29,38.0,21.0,17.0,Over-Predicted
2018-05-30,61.0,44.0,17.0,Over-Predicted
2018-05-31,44.0,44.0,0.0,Predicted
2018-06-01,27.0,27.0,0.0,Predicted
2018-06-02,35.0,35.0,0.0,Predicted
2018-06-03,33.0,33.0,0.0,Predicted
2018-06-04,33.0,23.0,10.0,Over-Predicted
2018-06-05,44.0,44.0,0.0,Predicted
2018-06-06,56.0,47.0,9.0,Over-Predicted
2018-06-07,18.0,18.0,0.0,Predicted
2018-06-08,39.0,39.0,0.0,Predicted
2018-06-09,20.0,16.0,4.0,Over-Predicted
2018-06-10,10.0,10.0,0.0,Predicted
2018-06-11,33.0,33.0,0.0,Predicted
2018-06-12,28.0,32.0,-4.0,Under-Predicted
2018-06-13,27.0,27.0,0.0,Predicted
2018-06-14,24.0,28.0,-4.0,Under-Predicted
2018-06-15,37.0,26.0,11.0,Over-Predicted
2018-06-16,6.0,25.0,-19.0,Under-Predicted
2018-06-17,22.0,24.0,-2.0,Under-Predicted
2018-06-18,0.0,19.0,-19.0,Under-Predicted
2018-06-19,10.0,10.0,0.0,Predicted
2018-06-20,34.0,44.0,-10.0,Under-Predicted
