Date,USSAttendance
2017-06-12,11411
2017-06-13,10898
2017-06-14,11152
2017-06-15,11789
2017-06-16,10751
2017-06-17,13649
2017-06-18,12368
2017-06-19,11308
2017-06-20,10764
2017-06-21,11459
2017-06-22,11136
2017-06-23,11165
2017-06-24,13527
2017-06-25,12940
2017-06-26,10622
2017-06-27,11244
2017-06-28,10818
2017-06-29,11178
2017-06-30,11366
2017-07-01,12885
2017-07-02,13738
2017-07-03,10402
2017-07-04,11114
2017-07-05,11350
2017-07-06,11037
2017-07-07,10989
2017-07-08,12747
2017-07-09,12659
2017-07-10,11689
2017-07-11,11953
2017-07-12,11652
2017-07-13,10300
2017-07-14,10555
2017-07-15,12107
2017-07-16,12255
2017-07-17,11299
2017-07-18,10768
2017-07-19,10527
2017-07-20,11319
2017-07-21,11011
2017-07-22,13423
2017-07-23,12720
2017-07-24,11310
2017-07-25,11006
2017-07-26,11024
2017-07-27,10664
2017-07-28,11410
2017-07-29,12412
2017-07-30,13065
2017-07-31,11408
2017-08-01,11599
2017-08-02,10978
2017-08-03,10731
2017-08-04,11201
2017-08-05,12914
2017-08-06,12167
2017-08-07,10983
2017-08-08,11253
2017-08-09,11069
2017-08-10,10978
2017-08-11,10714
2017-08-12,13595
2017-08-13,12984
2017-08-14,11319
2017-08-15,11373
2017-08-16,12011
2017-08-17,11514
2017-08-18,11299
2017-08-19,12934
2017-08-20,12522
2017-08-21,11045
2017-08-22,10857
2017-08-23,10382
2017-08-24,10893
2017-08-25,10485
2017-08-26,13307
2017-08-27,12443
2017-08-28,11287
2017-08-29,10456
2017-08-30,10871
2017-08-31,10642
2017-09-01,11472
2017-09-02,12896
2017-09-03,11956
2017-09-04,10552
2017-09-05,11003
2017-09-06,10928
2017-09-07,10685
2017-09-08,11172
2017-09-09,12830
2017-09-10,12950
2017-09-11,10899
2017-09-12,11013
2017-09-13,12047
2017-09-14,9969
2017-09-15,10980
2017-09-16,12745
2017-09-17,12248
2017-09-18,10824
2017-09-19,11054
2017-09-20,11366
2017-09-21,11761
2017-09-22,10891
2017-09-23,13283
2017-09-24,11869
2017-09-25,10514
2017-09-26,10832
2017-09-27,11398
2017-09-28,11497
2017-09-29,10782
2017-09-30,12095
2017-10-01,12428
2017-10-02,11508
2017-10-03,11018
2017-10-04,11196
2017-10-05,11655
2017-10-06,10984
2017-10-07,12462
2017-10-08,12864
2017-10-09,10637
2017-10-10,11526
2017-10-11,11793
2017-10-12,10505
2017-10-13,11051
2017-10-14,12793
2017-10-15,13227
2017-10-16,10652
2017-10-17,11158
2017-10-18,11638
2017-10-19,11257
2017-10-20,11052
2017-10-21,12426
2017-10-22,12777
2017-10-23,10722
2017-10-24,11807
2017-10-25,11330
2017-10-26,11338
2017-10-27,11425
2017-10-28,12502
2017-10-29,13285
2017-10-30,10919
2017-10-31,11776
2017-11-01,11310
2017-11-02,11283
2017-11-03,10701
2017-11-04,12964
2017-11-05,11901
2017-11-06,10736
2017-11-07,10819
2017-11-08,10348
2017-11-09,10504
2017-11-10,11388
2017-11-11,13592
2017-11-12,12960
2017-11-13,11419
2017-11-14,10280
2017-11-15,11600
2017-11-16,10783
2017-11-17,11338
2017-11-18,12524
2017-11-19,12576
2017-11-20,11219
2017-11-21,11104
2017-11-22,11150
2017-11-23,10945
2017-11-24,11292
2017-11-25,13485
2017-11-26,12760
2017-11-27,11721
2017-11-28,11568
2017-11-29,11611
2017-11-30,11260
2017-12-01,10547
2017-12-02,12631
2017-12-03,13479
2017-12-04,11052
2017-12-05,11562
2017-12-06,11398
2017-12-07,11681
2017-12-08,11489
2017-12-09,13180
2017-12-10,12418
2017-12-11,10943
2017-12-12,10237
2017-12-13,10930
2017-12-14,11291
2017-12-15,10841
2017-12-16,13255
2017-12-17,13160
2017-12-18,11500
2017-12-19,11093
2017-12-20,11247
2017-12-21,10541
2017-12-22,10743
2017-12-23,12307
2017-12-24,12510
2017-12-25,11279
2017-12-26,11812
2017-12-27,11348
2017-12-28,11703
2017-12-29,11218
2017-12-30,13313
2017-12-31,12337
2018-01-01,11212
2018-01-02,11897
2018-01-03,11146
2018-01-04,11977
2018-01-05,11248
2018-01-06,13762
2018-01-07,13531
2018-01-08,11183
2018-01-09,11404
2018-01-10,12661
2018-01-11,13762
2018-01-12,13167
2018-01-13,13506
2018-01-14,12754
2018-01-15,11596
2018-01-16,11972
2018-01-17,11507
2018-01-18,11632
2018-01-19,12113
2018-01-20,13269
2018-01-21,13436
2018-01-22,11733
2018-01-23,10713
2018-01-24,11087
2018-01-25,11572
2018-01-26,11540
2018-01-27,12325
2018-01-28,13305
2018-01-29,11479
2018-01-30,11440
2018-01-31,11281
2018-02-01,10911
2018-02-02,11115
2018-02-03,13637
2018-02-04,13636
2018-02-05,11824
2018-02-06,11449
2018-02-07,11929
2018-02-08,11666
2018-02-09,11744
2018-02-10,13499
2018-02-11,13379
2018-02-12,11217
2018-02-13,12005
2018-02-14,11169
2018-02-15,11977
2018-02-16,11432
2018-02-17,12917
2018-02-18,14039
2018-02-19,11744
2018-02-20,11515
2018-02-21,11735
2018-02-22,11981
2018-02-23,10541
2018-02-24,13477
2018-02-25,13053
2018-02-26,11847
2018-02-27,11465
2018-02-28,10741
2018-03-01,12086
2018-03-02,11184
2018-03-03,12828
2018-03-04,13109
2018-03-05,11174
2018-03-06,11557
2018-03-07,11300
2018-03-08,11346
2018-03-09,12105
2018-03-10,13894
2018-03-11,13068
2018-03-12,10960
2018-03-13,12031
2018-03-14,11825
2018-03-15,11447
2018-03-16,11739
2018-03-17,13902
2018-03-18,13820
2018-03-19,11971
2018-03-20,11690
2018-03-21,11699
2018-03-22,11958
2018-03-23,12576
2018-03-24,13112
2018-03-25,13140
2018-03-26,11621
2018-03-27,11581
2018-03-28,11807
2018-03-29,11670
2018-03-30,11867
2018-03-31,12550
2018-04-01,12715
2018-04-02,11475
2018-04-03,11503
2018-04-04,11650
2018-04-05,11506
2018-04-06,11836
2018-04-07,12577
2018-04-08,13329
2018-04-09,11556
2018-04-10,11102
2018-04-11,11907
2018-04-12,11532
2018-04-13,11564
2018-04-14,13802
2018-04-15,12337
2018-04-16,12490
2018-04-17,11093
2018-04-18,11665
2018-04-19,11128
2018-04-20,11025
2018-04-21,13240
2018-04-22,12674
2018-04-23,11515
2018-04-24,11683
2018-04-25,11072
2018-04-26,11989
2018-04-27,11685
2018-04-28,13772
2018-04-29,14084
2018-04-30,11404
2018-05-01,11173
2018-05-02,11738
2018-05-03,11202
2018-05-04,11609
2018-05-05,13723
2018-05-06,13427
2018-05-07,11628
2018-05-08,12061
2018-05-09,11721
2018-05-10,12312
2018-05-11,12010
2018-05-12,13289
2018-05-13,13143
2018-05-14,11751
2018-05-15,11099
2018-05-16,11452
2018-05-17,11569
2018-05-18,11320
2018-05-19,12444
2018-05-20,12868
2018-05-21,11616
2018-05-22,11417
2018-05-23,11810
2018-05-24,11761
2018-05-25,11635
2018-05-26,12922
2018-05-27,12777
2018-05-28,12005
2018-05-29,11443
2018-05-30,11360
2018-05-31,11809
2018-06-01,12094
2018-06-02,13523
2018-06-03,12255
2018-06-04,11476
2018-06-05,12010
2018-06-06,12319
2018-06-07,11464
2018-06-08,11821
2018-06-09,12670
2018-06-10,13419
2018-06-11,11410
2018-06-12,11429
2018-06-13,11333
2018-06-14,10638
2018-06-15,10776
2018-06-16,13139
2018-06-17,13373
2018-06-18,11335
2018-06-19,11636
2018-06-20,11982
2018-06-21,11116
2018-06-22,11954
2018-06-23,12730
2018-06-24,13849
2018-06-25,11562
2018-06-26,11750
2018-06-27,11562
2018-06-28,12435
2018-06-29,11318
2018-06-30,14064
2018-07-01,13327
2018-07-02,11716
2018-07-03,11607
2018-07-04,11312
2018-07-05,12189
2018-07-06,11943
2018-07-07,13536
2018-07-08,13443
2018-07-09,11535
2018-07-10,11443
2018-07-11,11257
2018-07-12,11322
2018-07-13,11343
2018-07-14,13931
2018-07-15,13169
2018-07-16,11756
2018-07-17,11637
2018-07-18,11403
2018-07-19,11397
2018-07-20,11171
2018-07-21,13491
2018-07-22,13294
2018-07-23,11779
2018-07-24,11245
2018-07-25,11895
2018-07-26,11937
2018-07-27,11633
2018-07-28,13544
2018-07-29,13420
2018-07-30,10814
2018-07-31,11316
2018-08-01,12100
2018-08-02,11706
2018-08-03,11661
2018-08-04,13722
2018-08-05,13349
2018-08-06,12192
2018-08-07,10959
2018-08-08,11341
2018-08-09,11446
2018-08-10,12002
2018-08-11,13294
2018-08-12,13634
2018-08-13,11275
2018-08-14,11643
2018-08-15,12307
2018-08-16,11893
2018-08-17,12166
2018-08-18,14109
2018-08-19,13926
2018-08-20,11800
2018-08-21,11368
2018-08-22,11119
2018-08-23,11615
2018-08-24,11465
2018-08-25,13695
2018-08-26,14229
2018-08-27,11684
2018-08-28,11848
2018-08-29,11903
2018-08-30,11541
2018-08-31,11539
2018-09-01,13772
2018-09-02,12703
2018-09-03,12010
2018-09-04,10484
2018-09-05,11954
2018-09-06,11535
2018-09-07,11240
2018-09-08,12479
2018-09-09,12933
2018-09-10,11933
2018-09-11,10819
2018-09-12,11487
2018-09-13,11104
2018-09-14,11922
2018-09-15,13195
2018-09-16,13718
2018-09-17,11667
2018-09-18,11234
2018-09-19,10639
2018-09-20,11618
2018-09-21,11678
2018-09-22,13380
2018-09-23,13169
2018-09-24,11787
2018-09-25,11008
2018-09-26,11225
2018-09-27,12705
2018-09-28,11582
2018-09-29,13920
2018-09-30,13481
2018-10-01,11352
2018-10-02,11763
2018-10-03,11398
2018-10-04,11873
2018-10-05,11851
2018-10-06,12495
2018-10-07,13276
2018-10-08,11437
2018-10-09,10686
2018-10-10,10709
2018-10-11,11069
2018-10-12,11214
2018-10-13,13183
2018-10-14,12555
2018-10-15,12250
2018-10-16,10949
2018-10-17,11121
2018-10-18,11986
2018-10-19,11545
2018-10-20,12824
2018-10-21,13734
2018-10-22,11473
2018-10-23,12223
2018-10-24,11503
2018-10-25,11372
2018-10-26,11380
2018-10-27,11861
2018-10-28,13220
2018-10-29,11683
2018-10-30,11299
2018-10-31,11593
2018-11-01,11727
2018-11-02,11536
2018-11-03,14045
2018-11-04,12996
2018-11-05,11421
2018-11-06,11003
2018-11-07,12170
2018-11-08,11859
2018-11-09,11883
2018-11-10,12834
2018-11-11,13812
2018-11-12,11615
2018-11-13,11496
2018-11-14,11619
2018-11-15,11103
2018-11-16,12088
2018-11-17,12266
2018-11-18,12738
2018-11-19,11306
2018-11-20,11463
2018-11-21,11799
2018-11-22,11201
2018-11-23,11450
2018-11-24,13164
2018-11-25,13645
2018-11-26,11448
2018-11-27,10576
2018-11-28,11254
2018-11-29,11471
2018-11-30,11024
2018-12-01,12468
2018-12-02,13112
2018-12-03,11605
2018-12-04,11449
2018-12-05,10984
2018-12-06,11379
2018-12-07,11648
2018-12-08,12937
2018-12-09,13454
2018-12-10,11698
2018-12-11,12118
2018-12-12,11544
2018-12-13,11253
2018-12-14,10662
2018-12-15,12508
2018-12-16,14067
2018-12-17,11280
2018-12-18,11263
2018-12-19,12078
2018-12-20,10927
2018-12-21,11487
2018-12-22,14280
2018-12-23,13326
2018-12-24,11776
2018-12-25,12165
2018-12-26,11547
2018-12-27,12260
2018-12-28,12188
2018-12-29,13209
2018-12-30,12639
2018-12-31,11178
2019-01-01,11520
2019-01-02,12388
2019-01-03,11663
2019-01-04,12134
2019-01-05,13644
2019-01-06,12912
2019-01-07,11837
2019-01-08,12667
2019-01-09,11893
2019-01-10,11718
2019-01-11,12261
2019-01-12,13728
2019-01-13,14038
2019-01-14,12005
2019-01-15,11335
2019-01-16,11409
2019-01-17,11218
2019-01-18,11589
2019-01-19,12992
2019-01-20,13492
2019-01-21,11435
2019-01-22,11435
2019-01-23,12569
2019-01-24,12435
2019-01-25,11745
2019-01-26,13821
2019-01-27,14394
2019-01-28,11836
2019-01-29,11699
2019-01-30,12385
2019-01-31,12924
2019-02-01,11871
2019-02-02,13238
2019-02-03,13391
2019-02-04,11865
2019-02-05,10924
2019-02-06,11840
2019-02-07,12020
2019-02-08,11687
2019-02-09,12832
2019-02-10,13700
2019-02-11,12180
2019-02-12,12010
2019-02-13,12107
2019-02-14,12214
2019-02-15,12918
2019-02-16,13534
2019-02-17,13200
2019-02-18,12052
2019-02-19,11440
2019-02-20,11788
2019-02-21,12530
2019-02-22,12251
2019-02-23,13363
2019-02-24,13343
2019-02-25,11235
2019-02-26,11977
2019-02-27,11410
2019-02-28,11992
2019-03-01,11941
2019-03-02,13253
2019-03-03,14794
2019-03-04,11931
2019-03-05,10688
2019-03-06,11744
2019-03-07,11740
2019-03-08,11415
2019-03-09,14090
2019-03-10,14257
2019-03-11,11456
2019-03-12,11666
2019-03-13,11873
2019-03-14,11735
2019-03-15,11694
2019-03-16,14201
2019-03-17,12729
2019-03-18,11127
2019-03-19,11192
2019-03-20,11689
2019-03-21,11965
2019-03-22,11694
2019-03-23,13762
2019-03-24,12853
2019-03-25,12049
2019-03-26,11817
2019-03-27,11524
2019-03-28,12138
2019-03-29,11704
2019-03-30,13391
2019-03-31,13590
2019-04-01,11258
2019-04-02,11463
2019-04-03,11610
2019-04-04,12102
2019-04-05,11589
2019-04-06,13926
2019-04-07,14688
2019-04-08,11961
2019-04-09,11278
2019-04-10,11382
2019-04-11,10701
2019-04-12,11534
2019-04-13,13202
2019-04-14,13783
2019-04-15,11875
2019-04-16,11115
2019-04-17,11492
2019-04-18,11781
2019-04-19,11574
2019-04-20,13956
2019-04-21,13717
2019-04-22,11439
2019-04-23,12493
2019-04-24,12024
2019-04-25,11561
2019-04-26,11415
2019-04-27,13024
2019-04-28,13679
2019-04-29,11735
2019-04-30,11494
2019-05-01,11537
2019-05-02,11804
2019-05-03,11688
2019-05-04,13077
2019-05-05,13638
2019-05-06,11524
2019-05-07,12177
2019-05-08,11367
2019-05-09,11477
2019-05-10,11765
2019-05-11,12507
2019-05-12,13641
2019-05-13,11600
2019-05-14,12246
2019-05-15,11963
2019-05-16,11734
2019-05-17,11187
2019-05-18,12671
2019-05-19,13474
2019-05-20,12261
2019-05-21,12282
2019-05-22,11999
2019-05-23,11532
2019-05-24,11678
2019-05-25,14783
2019-05-26,13683
2019-05-27,12551
2019-05-28,11604
2019-05-29,12117
2019-05-30,11486
2019-05-31,11587
2019-06-01,14677
2019-06-02,13884
2019-06-03,11749
2019-06-04,11993
2019-06-05,11914
2019-06-06,12562
2019-06-07,11473
2019-06-08,13224
2019-06-09,13160
2019-06-10,12023
2019-06-11,11519
2019-06-12,12031
2019-06-13,12138
2019-06-14,11639
2019-06-15,13810
2019-06-16,13676
2019-06-17,11926
2019-06-18,12152
2019-06-19,11947
2019-06-20,11779
2019-06-21,11121
2019-06-22,13809
2019-06-23,13722
2019-06-24,11424
2019-06-25,11363
2019-06-26,11084
2019-06-27,12388
2019-06-28,12197
2019-06-29,14531
2019-06-30,13201
2019-07-01,11815
2019-07-02,11779
2019-07-03,11870
2019-07-04,11384
2019-07-05,12129
2019-07-06,13526
2019-07-07,12964
2019-07-08,11803
2019-07-09,12427
2019-07-10,12485
2019-07-11,11516
2019-07-12,12122
2019-07-13,12559
2019-07-14,13155
2019-07-15,11935
2019-07-16,12355
2019-07-17,11661
2019-07-18,12230
2019-07-19,11902
2019-07-20,12975
2019-07-21,13306
2019-07-22,11261
2019-07-23,10830
2019-07-24,10656
2019-07-25,11576
2019-07-26,11713
2019-07-27,13487
2019-07-28,13389
2019-07-29,11546
2019-07-30,11525
2019-07-31,11631
2019-08-01,11719
2019-08-02,12239
2019-08-03,13700
2019-08-04,14361
2019-08-05,11793
2019-08-06,12238
2019-08-07,12635
2019-08-08,12227
2019-08-09,11987
2019-08-10,13632
2019-08-11,13458
2019-08-12,11253
2019-08-13,11547
2019-08-14,12177
2019-08-15,11875
2019-08-16,11888
2019-08-17,13520
2019-08-18,13261
2019-08-19,12125
2019-08-20,11607
2019-08-21,12419
2019-08-22,11570
2019-08-23,12712
2019-08-24,13874
2019-08-25,13144
2019-08-26,12001
2019-08-27,11900
2019-08-28,11750
2019-08-29,12088
2019-08-30,12020
2019-08-31,14041
2019-09-01,13396
2019-09-02,12214
2019-09-03,11967
2019-09-04,11989
2019-09-05,12383
2019-09-06,11116
2019-09-07,14615
2019-09-08,13806
2019-09-09,12201
2019-09-10,11709
2019-09-11,11136
2019-09-12,11166
2019-09-13,11730
2019-09-14,13216
2019-09-15,14287
2019-09-16,12140
2019-09-17,11635
2019-09-18,11222
2019-09-19,12023
2019-09-20,12156
2019-09-21,14781
2019-09-22,13131
2019-09-23,11897
2019-09-24,11495
2019-09-25,11321
2019-09-26,11271
2019-09-27,11782
2019-09-28,13809
2019-09-29,14168
2019-09-30,11525
2019-10-01,11761
2019-10-02,11614
2019-10-03,11494
2019-10-04,11760
2019-10-05,14394
2019-10-06,13841
2019-10-07,11676
2019-10-08,12020
2019-10-09,11242
2019-10-10,11720
2019-10-11,12293
2019-10-12,14195
2019-10-13,13721
2019-10-14,12365
2019-10-15,12551
2019-10-16,12275
2019-10-17,12045
2019-10-18,11898
2019-10-19,13702
2019-10-20,13827
2019-10-21,11534
2019-10-22,11557
2019-10-23,11272
2019-10-24,12304
2019-10-25,10836
2019-10-26,14033
2019-10-27,12393
2019-10-28,11756
2019-10-29,11623
2019-10-30,11199
2019-10-31,11904
2019-11-01,11977
2019-11-02,13721
2019-11-03,14148
2019-11-04,11830
2019-11-05,11799
2019-11-06,12250
2019-11-07,11762
2019-11-08,11871
2019-11-09,13879
2019-11-10,14661
2019-11-11,11608
2019-11-12,11477
2019-11-13,11436
2019-11-14,11980
2019-11-15,11481
2019-11-16,14062
2019-11-17,14161
2019-11-18,11674
2019-11-19,12239
2019-11-20,11983
2019-11-21,12254
2019-11-22,12126
2019-11-23,13122
2019-11-24,13345
2019-11-25,12017
2019-11-26,12823
2019-11-27,12296
2019-11-28,12168
2019-11-29,11347
2019-11-30,14157
2019-12-01,12823
2019-12-02,11256
2019-12-03,12803
2019-12-04,12087
2019-12-05,11650
2019-12-06,12309
2019-12-07,13974
2019-12-08,13143
2019-12-09,11586
2019-12-10,11651
2019-12-11,12625
2019-12-12,12287
2019-12-13,11686
2019-12-14,13690
2019-12-15,13265
2019-12-16,11004
2019-12-17,12070
2019-12-18,11047
2019-12-19,11544
2019-12-20,12719
2019-12-21,14059
2019-12-22,13438
2019-12-23,11808
2019-12-24,11481
2019-12-25,11794
2019-12-26,12159
2019-12-27,11794
2019-12-28,14105
2019-12-29,13265
2019-12-30,11486
2019-12-31,12034
2020-01-01,3916
2020-01-02,3495
2020-01-03,3526
2020-01-04,4136
2020-01-05,4352
2020-01-06,3987
2020-01-07,3808
2020-01-08,3646
2020-01-09,3969
2020-01-10,3880
2020-01-11,4399
2020-01-12,4138
2020-01-13,3964
2020-01-14,3691
2020-01-15,3431
2020-01-16,3684
2020-01-17,3819
2020-01-18,4228
2020-01-19,4313
2020-01-20,3558
2020-01-21,3713
2020-01-22,3729
2020-01-23,3866
2020-01-24,3810
2020-01-25,4123
2020-01-26,4565
2020-01-27,3469
2020-01-28,3805
2020-01-29,3880
2020-01-30,3689
2020-01-31,3752
2020-02-01,4527
2020-02-02,4290
2020-02-03,3842
2020-02-04,3606
2020-02-05,3775
2020-02-06,4064
2020-02-07,3901
2020-02-08,4451
2020-02-09,4495
2020-02-10,3722
2020-02-11,3603
2020-02-12,3955
2020-02-13,3794
2020-02-14,3708
2020-02-15,4222
2020-02-16,4315
2020-02-17,3974
2020-02-18,3998
2020-02-19,3821
2020-02-20,3842
2020-02-21,3866
2020-02-22,4392
2020-02-23,4482
2020-02-24,3933
2020-02-25,3821
2020-02-26,3648
2020-02-27,3827
2020-02-28,3696
2020-02-29,4544
2020-03-01,4458
2020-03-02,3901
2020-03-03,3828
2020-03-04,4059
2020-03-05,3680
2020-03-06,3734
2020-03-07,4034
2020-03-08,4155
2020-03-09,3742
2020-03-10,3718
2020-03-11,3644
2020-03-12,3880
2020-03-13,3637
2020-03-14,4170
2020-03-15,4382
2020-03-16,3676
2020-03-17,3828
2020-03-18,3487
2020-03-19,3890
2020-03-20,3627
2020-03-21,4374
2020-03-22,4328
2020-03-23,3545
2020-03-24,3915
2020-03-25,3845
2020-03-26,3793
2020-03-27,3865
2020-03-28,4192
2020-03-29,4381
2020-03-30,3717
2020-03-31,3713
2020-04-01,3791
2020-04-02,3727
2020-04-03,3660
2020-04-04,4375
2020-04-05,4284
2020-04-06,3512
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,3865
2020-07-02,3769
2020-07-03,3708
2020-07-04,4181
2020-07-05,4378
2020-07-06,3888
2020-07-07,3822
2020-07-08,3529
2020-07-09,3624
2020-07-10,3627
2020-07-11,4301
2020-07-12,4387
2020-07-13,3813
2020-07-14,3829
2020-07-15,3764
2020-07-16,3930
2020-07-17,3887
2020-07-18,3903
2020-07-19,4483
2020-07-20,3729
2020-07-21,3772
2020-07-22,3691
2020-07-23,3740
2020-07-24,3803
2020-07-25,4400
2020-07-26,4723
2020-07-27,3832
2020-07-28,3811
2020-07-29,3761
2020-07-30,3647
2020-07-31,3604
2020-08-01,4366
2020-08-02,4393
2020-08-03,3831
2020-08-04,3860
2020-08-05,3744
2020-08-06,3734
2020-08-07,3928
2020-08-08,4133
2020-08-09,4309
2020-08-10,3598
2020-08-11,3552
2020-08-12,3713
2020-08-13,3641
2020-08-14,3696
2020-08-15,4393
2020-08-16,4491
2020-08-17,3401
2020-08-18,3819
2020-08-19,3706
2020-08-20,3745
2020-08-21,3562
2020-08-22,4477
2020-08-23,4308
2020-08-24,3658
2020-08-25,3858
2020-08-26,3993
2020-08-27,3759
2020-08-28,3669
2020-08-29,4393
2020-08-30,4071
2020-08-31,3841
2020-09-01,3795
2020-09-02,3660
2020-09-03,3743
2020-09-04,3596
2020-09-05,4211
2020-09-06,4329
2020-09-07,3738
2020-09-08,3454
2020-09-09,3851
2020-09-10,3633
2020-09-11,3725
2020-09-12,4332
2020-09-13,4248
2020-09-14,3618
2020-09-15,3805
2020-09-16,3759
2020-09-17,3610
2020-09-18,3647
2020-09-19,4137
2020-09-20,4165
2020-09-21,3534
2020-09-22,3706
2020-09-23,3677
2020-09-24,3691
2020-09-25,3673
2020-09-26,4077
2020-09-27,4237
2020-09-28,3651
2020-09-29,3646
2020-09-30,3935
2020-10-01,3644
2020-10-02,3839
2020-10-03,4216
2020-10-04,4359
2020-10-05,3737
2020-10-06,3586
2020-10-07,3772
2020-10-08,3545
2020-10-09,3688
2020-10-10,4430
2020-10-11,4727
2020-10-12,3821
2020-10-13,3834
2020-10-14,3802
2020-10-15,4010
2020-10-16,3671
2020-10-17,4539
2020-10-18,4376
2020-10-19,3665
2020-10-20,3513
2020-10-21,3730
2020-10-22,3777
2020-10-23,3737
2020-10-24,4221
2020-10-25,4474
2020-10-26,3752
2020-10-27,3758
2020-10-28,3815
2020-10-29,3627
2020-10-30,3637
2020-10-31,4330
2020-11-01,4506
2020-11-02,3612
2020-11-03,3789
2020-11-04,3767
2020-11-05,3797
2020-11-06,3803
