_id,quarter,industry1,industry2,industry3,employment_change
166,1992-Q3,services,"community, social and personal services",health and social work,0.4
167,1992-Q3,services,"community, social and personal services","other community, social and personal services",1.7
168,1992-Q3,others,others,others,2.2
169,1992-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
170,1992-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.7
171,1992-Q4,manufacturing,paper products and publishing,paper products and publishing,-0.1
172,1992-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",-
173,1992-Q4,manufacturing,fabricated metal products,fabricated metal products,-0.3
174,1992-Q4,manufacturing,machinery and equipment,machinery and equipment,-0.3
175,1992-Q4,manufacturing,electrical products,electrical products,-0.4
176,1992-Q4,manufacturing,electronic products,electronic products,-1.5
177,1992-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.1
178,1992-Q4,manufacturing,transport equipment,transport equipment,-1
179,1992-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.3
180,1992-Q4,construction,construction,construction,4
181,1992-Q4,services,wholesale and retail trade,wholesale trade,1.3
182,1992-Q4,services,wholesale and retail trade,retail trade,1.6
183,1992-Q4,services,"transport, storage and communications","transport, storage and communications",1.4
184,1992-Q4,services,financial services,financial institutions,0.3
185,1992-Q4,services,financial services,insurance,0.2
186,1992-Q4,services,business and real estate services,business and real estate services,-0.2
187,1992-Q4,services,"community, social and personal services",public administration and education,1.7
188,1992-Q4,services,"community, social and personal services",public administration,n.a.
189,1992-Q4,services,"community, social and personal services",education,n.a.
190,1992-Q4,services,"community, social and personal services",health and social work,0.6
191,1992-Q4,services,"community, social and personal services","other community, social and personal services",1.4
192,1992-Q4,others,others,others,-
193,1993-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
194,1993-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-1
195,1993-Q1,manufacturing,paper products and publishing,paper products and publishing,0.2
196,1993-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.7
197,1993-Q1,manufacturing,fabricated metal products,fabricated metal products,-
198,1993-Q1,manufacturing,machinery and equipment,machinery and equipment,0.2
199,1993-Q1,manufacturing,electrical products,electrical products,-0.3
200,1993-Q1,manufacturing,electronic products,electronic products,-3
201,1993-Q1,manufacturing,medical and precision instruments,medical and precision instruments,3.7
202,1993-Q1,manufacturing,transport equipment,transport equipment,-1.2
203,1993-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
204,1993-Q1,construction,construction,construction,5.8
205,1993-Q1,services,wholesale and retail trade,wholesale trade,2
206,1993-Q1,services,wholesale and retail trade,retail trade,2.5
207,1993-Q1,services,"transport, storage and communications","transport, storage and communications",1.8
208,1993-Q1,services,financial services,financial institutions,0.9
209,1993-Q1,services,financial services,insurance,0.3
210,1993-Q1,services,business and real estate services,business and real estate services,1.4
211,1993-Q1,services,"community, social and personal services",public administration and education,-0.7
212,1993-Q1,services,"community, social and personal services",public administration,n.a.
213,1993-Q1,services,"community, social and personal services",education,n.a.
214,1993-Q1,services,"community, social and personal services",health and social work,0.9
215,1993-Q1,services,"community, social and personal services","other community, social and personal services",1.4
216,1993-Q1,others,others,others,-
217,1993-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2
218,1993-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.6
219,1993-Q2,manufacturing,paper products and publishing,paper products and publishing,0.4
220,1993-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.3
221,1993-Q2,manufacturing,fabricated metal products,fabricated metal products,-0.2
222,1993-Q2,manufacturing,machinery and equipment,machinery and equipment,-0.4
223,1993-Q2,manufacturing,electrical products,electrical products,-0.2
224,1993-Q2,manufacturing,electronic products,electronic products,-0.3
225,1993-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-0.4
226,1993-Q2,manufacturing,transport equipment,transport equipment,1
227,1993-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-
228,1993-Q2,construction,construction,construction,4.6
229,1993-Q2,services,wholesale and retail trade,wholesale trade,1
230,1993-Q2,services,wholesale and retail trade,retail trade,0.3
231,1993-Q2,services,"transport, storage and communications","transport, storage and communications",1.5
232,1993-Q2,services,financial services,financial institutions,1.1
233,1993-Q2,services,financial services,insurance,0.2
234,1993-Q2,services,business and real estate services,business and real estate services,2.6
235,1993-Q2,services,"community, social and personal services",public administration and education,0.7
236,1993-Q2,services,"community, social and personal services",public administration,n.a.
237,1993-Q2,services,"community, social and personal services",education,n.a.
238,1993-Q2,services,"community, social and personal services",health and social work,0.5
239,1993-Q2,services,"community, social and personal services","other community, social and personal services",1.9
240,1993-Q2,others,others,others,-0.3
241,1993-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
242,1993-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-1
243,1993-Q3,manufacturing,paper products and publishing,paper products and publishing,-
244,1993-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.2
245,1993-Q3,manufacturing,fabricated metal products,fabricated metal products,-0.1
246,1993-Q3,manufacturing,machinery and equipment,machinery and equipment,0.5
247,1993-Q3,manufacturing,electrical products,electrical products,-0.1
248,1993-Q3,manufacturing,electronic products,electronic products,-1
249,1993-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.5
250,1993-Q3,manufacturing,transport equipment,transport equipment,-0.2
251,1993-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.2
252,1993-Q3,construction,construction,construction,9.5
253,1993-Q3,services,wholesale and retail trade,wholesale trade,2
254,1993-Q3,services,wholesale and retail trade,retail trade,0.1
255,1993-Q3,services,"transport, storage and communications","transport, storage and communications",0.5
256,1993-Q3,services,financial services,financial institutions,0.8
257,1993-Q3,services,financial services,insurance,-
258,1993-Q3,services,business and real estate services,business and real estate services,2.2
259,1993-Q3,services,"community, social and personal services",public administration and education,0.6
260,1993-Q3,services,"community, social and personal services",public administration,n.a.
261,1993-Q3,services,"community, social and personal services",education,n.a.
262,1993-Q3,services,"community, social and personal services",health and social work,0.3
263,1993-Q3,services,"community, social and personal services","other community, social and personal services",3.7
264,1993-Q3,others,others,others,0.2
265,1993-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
266,1993-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.8
267,1993-Q4,manufacturing,paper products and publishing,paper products and publishing,-
268,1993-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.2
269,1993-Q4,manufacturing,fabricated metal products,fabricated metal products,-
270,1993-Q4,manufacturing,machinery and equipment,machinery and equipment,-
271,1993-Q4,manufacturing,electrical products,electrical products,0.1
272,1993-Q4,manufacturing,electronic products,electronic products,0.2
273,1993-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.2
274,1993-Q4,manufacturing,transport equipment,transport equipment,1
275,1993-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-
276,1993-Q4,construction,construction,construction,6.5
277,1993-Q4,services,wholesale and retail trade,wholesale trade,2.5
278,1993-Q4,services,wholesale and retail trade,retail trade,1.9
279,1993-Q4,services,"transport, storage and communications","transport, storage and communications",1
280,1993-Q4,services,financial services,financial institutions,1.5
281,1993-Q4,services,financial services,insurance,-
282,1993-Q4,services,business and real estate services,business and real estate services,1.1
283,1993-Q4,services,"community, social and personal services",public administration and education,1.4
284,1993-Q4,services,"community, social and personal services",public administration,n.a.
285,1993-Q4,services,"community, social and personal services",education,n.a.
286,1993-Q4,services,"community, social and personal services",health and social work,0.7
287,1993-Q4,services,"community, social and personal services","other community, social and personal services",4.1
288,1993-Q4,others,others,others,0.2
289,1994-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
290,1994-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.9
291,1994-Q1,manufacturing,paper products and publishing,paper products and publishing,0.2
292,1994-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1
293,1994-Q1,manufacturing,fabricated metal products,fabricated metal products,-0.4
294,1994-Q1,manufacturing,machinery and equipment,machinery and equipment,0.6
295,1994-Q1,manufacturing,electrical products,electrical products,0.2
296,1994-Q1,manufacturing,electronic products,electronic products,1.3
297,1994-Q1,manufacturing,medical and precision instruments,medical and precision instruments,-0.4
298,1994-Q1,manufacturing,transport equipment,transport equipment,0.8
299,1994-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
300,1994-Q1,construction,construction,construction,0.8
301,1994-Q1,services,wholesale and retail trade,wholesale trade,1.6
302,1994-Q1,services,wholesale and retail trade,retail trade,0.2
303,1994-Q1,services,"transport, storage and communications","transport, storage and communications",0.2
304,1994-Q1,services,financial services,financial institutions,2
305,1994-Q1,services,financial services,insurance,0.1
306,1994-Q1,services,business and real estate services,business and real estate services,1.7
307,1994-Q1,services,"community, social and personal services",public administration and education,-0.7
308,1994-Q1,services,"community, social and personal services",public administration,n.a.
309,1994-Q1,services,"community, social and personal services",education,n.a.
310,1994-Q1,services,"community, social and personal services",health and social work,-0.9
311,1994-Q1,services,"community, social and personal services","other community, social and personal services",3.4
312,1994-Q1,others,others,others,-0.5
313,1994-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
314,1994-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1
315,1994-Q2,manufacturing,paper products and publishing,paper products and publishing,0.2
316,1994-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.4
317,1994-Q2,manufacturing,fabricated metal products,fabricated metal products,0.8
318,1994-Q2,manufacturing,machinery and equipment,machinery and equipment,0.4
319,1994-Q2,manufacturing,electrical products,electrical products,0.2
320,1994-Q2,manufacturing,electronic products,electronic products,3.1
321,1994-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-0.3
322,1994-Q2,manufacturing,transport equipment,transport equipment,2.8
323,1994-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
324,1994-Q2,construction,construction,construction,2.3
325,1994-Q2,services,wholesale and retail trade,wholesale trade,2.7
326,1994-Q2,services,wholesale and retail trade,retail trade,-0.7
327,1994-Q2,services,"transport, storage and communications","transport, storage and communications",1.5
328,1994-Q2,services,financial services,financial institutions,1
329,1994-Q2,services,financial services,insurance,0.2
330,1994-Q2,services,business and real estate services,business and real estate services,4.8
331,1994-Q2,services,"community, social and personal services",public administration and education,2.9
332,1994-Q2,services,"community, social and personal services",public administration,n.a.
333,1994-Q2,services,"community, social and personal services",education,n.a.
334,1994-Q2,services,"community, social and personal services",health and social work,1.7
335,1994-Q2,services,"community, social and personal services","other community, social and personal services",3.4
336,1994-Q2,others,others,others,0.2
337,1994-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-
338,1994-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.3
339,1994-Q3,manufacturing,paper products and publishing,paper products and publishing,-0.1
340,1994-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.4
341,1994-Q3,manufacturing,fabricated metal products,fabricated metal products,0.2
342,1994-Q3,manufacturing,machinery and equipment,machinery and equipment,0.4
343,1994-Q3,manufacturing,electrical products,electrical products,-0.8
344,1994-Q3,manufacturing,electronic products,electronic products,0.3
345,1994-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1
346,1994-Q3,manufacturing,transport equipment,transport equipment,1.5
347,1994-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-
348,1994-Q3,construction,construction,construction,4.7
349,1994-Q3,services,wholesale and retail trade,wholesale trade,1.7
350,1994-Q3,services,wholesale and retail trade,retail trade,-1.7
351,1994-Q3,services,"transport, storage and communications","transport, storage and communications",-0.5
352,1994-Q3,services,financial services,financial institutions,-
353,1994-Q3,services,financial services,insurance,-0.1
354,1994-Q3,services,business and real estate services,business and real estate services,1.7
355,1994-Q3,services,"community, social and personal services",public administration and education,-1.6
356,1994-Q3,services,"community, social and personal services",public administration,n.a.
357,1994-Q3,services,"community, social and personal services",education,n.a.
358,1994-Q3,services,"community, social and personal services",health and social work,0.3
359,1994-Q3,services,"community, social and personal services","other community, social and personal services",4.6
360,1994-Q3,others,others,others,0.2
361,1994-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
362,1994-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.5
363,1994-Q4,manufacturing,paper products and publishing,paper products and publishing,0.2
364,1994-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.6
365,1994-Q4,manufacturing,fabricated metal products,fabricated metal products,0.1
366,1994-Q4,manufacturing,machinery and equipment,machinery and equipment,-0.1
367,1994-Q4,manufacturing,electrical products,electrical products,0.3
368,1994-Q4,manufacturing,electronic products,electronic products,1.3
369,1994-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-
370,1994-Q4,manufacturing,transport equipment,transport equipment,0.4
371,1994-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.3
372,1994-Q4,construction,construction,construction,5.3
373,1994-Q4,services,wholesale and retail trade,wholesale trade,2.9
374,1994-Q4,services,wholesale and retail trade,retail trade,2
375,1994-Q4,services,"transport, storage and communications","transport, storage and communications",1.3
376,1994-Q4,services,financial services,financial institutions,1.5
377,1994-Q4,services,financial services,insurance,0.3
378,1994-Q4,services,business and real estate services,business and real estate services,2.7
379,1994-Q4,services,"community, social and personal services",public administration and education,0.1
380,1994-Q4,services,"community, social and personal services",public administration,n.a.
381,1994-Q4,services,"community, social and personal services",education,n.a.
382,1994-Q4,services,"community, social and personal services",health and social work,0.9
383,1994-Q4,services,"community, social and personal services","other community, social and personal services",1.5
384,1994-Q4,others,others,others,0.2
385,1995-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2
386,1995-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.9
387,1995-Q1,manufacturing,paper products and publishing,paper products and publishing,-0.2
388,1995-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.7
389,1995-Q1,manufacturing,fabricated metal products,fabricated metal products,0.6
390,1995-Q1,manufacturing,machinery and equipment,machinery and equipment,0.5
391,1995-Q1,manufacturing,electrical products,electrical products,0.5
392,1995-Q1,manufacturing,electronic products,electronic products,2.9
393,1995-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.3
394,1995-Q1,manufacturing,transport equipment,transport equipment,2.2
395,1995-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.7
396,1995-Q1,construction,construction,construction,2.5
397,1995-Q1,services,wholesale and retail trade,wholesale trade,2.7
398,1995-Q1,services,wholesale and retail trade,retail trade,-1.2
399,1995-Q1,services,"transport, storage and communications","transport, storage and communications",1.3
400,1995-Q1,services,financial services,financial institutions,1.4
401,1995-Q1,services,financial services,insurance,0.2
402,1995-Q1,services,business and real estate services,business and real estate services,2.7
403,1995-Q1,services,"community, social and personal services",public administration and education,0.2
404,1995-Q1,services,"community, social and personal services",public administration,n.a.
405,1995-Q1,services,"community, social and personal services",education,n.a.
406,1995-Q1,services,"community, social and personal services",health and social work,0.1
407,1995-Q1,services,"community, social and personal services","other community, social and personal services",0.4
408,1995-Q1,others,others,others,-0.1
409,1995-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-
410,1995-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.4
411,1995-Q2,manufacturing,paper products and publishing,paper products and publishing,-0.1
412,1995-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1
413,1995-Q2,manufacturing,fabricated metal products,fabricated metal products,0.3
414,1995-Q2,manufacturing,machinery and equipment,machinery and equipment,0.8
415,1995-Q2,manufacturing,electrical products,electrical products,-0.2
416,1995-Q2,manufacturing,electronic products,electronic products,1.8
417,1995-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-0.1
418,1995-Q2,manufacturing,transport equipment,transport equipment,2
419,1995-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.9
420,1995-Q2,construction,construction,construction,7.2
421,1995-Q2,services,wholesale and retail trade,wholesale trade,3
422,1995-Q2,services,wholesale and retail trade,retail trade,-0.1
423,1995-Q2,services,"transport, storage and communications","transport, storage and communications",2.7
424,1995-Q2,services,financial services,financial institutions,1.4
425,1995-Q2,services,financial services,insurance,0.4
426,1995-Q2,services,business and real estate services,business and real estate services,5
427,1995-Q2,services,"community, social and personal services",public administration and education,1.1
428,1995-Q2,services,"community, social and personal services",public administration,n.a.
429,1995-Q2,services,"community, social and personal services",education,n.a.
430,1995-Q2,services,"community, social and personal services",health and social work,1.1
431,1995-Q2,services,"community, social and personal services","other community, social and personal services",0.6
432,1995-Q2,others,others,others,0.2
433,1995-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.5
434,1995-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.9
435,1995-Q3,manufacturing,paper products and publishing,paper products and publishing,-0.4
