,timestamp,visited_US,visit_freq,age,gender,monthly_income,nationality,companion,ride_pref,time_in_park,visit_day,visit_reason,mkting_content_seen,mkting_content_pref,get_ticket,fee_pricing,queuing,fast_pass_worth,cleanliness,facilities,navigation,rides,theme,relavamce,staffing,friendliness,return_likelihood,concern_malfucntion,concern_violence,concern_crowd_crush,concern_theft,concern_getting_lost,concern_medical_access,concern_weather,concern_food_safety,visit_deterrents,attraction_decision,top_expense,hollywood,minion_land,far_far_away,lost_world,ancient_egypt,scifi_city,new_york
13,16/02/2025 13:14:29,True,Once every 2-3 years,19-25 years old,Female,No income,singaporean/pr,Friends,medium,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends",TV commercials,"Discounts, special offers, or bundles",4,2,2,5,6,3,5,6,6,5,5,5,5,4,2,2,2,3,2,4,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
14,16/02/2025 13:35:39,True,< Once every 3 years,36-45 years old,Female,"$2,000 - $5,999",singaporean/pr,Family,low,Afternoon (12pm-5pm),School Holidays,"To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, For a relaxing getaway or vacation, To visit a newly opened or recently renovated park/area, Because of a social media post or influencer recommendation",Social media ads,"Discounts, special offers, or bundles, New attractions or event announcements, Interactive experiences (e.g., virtual tours, social media contests)",6,5,4,4,6,4,6,4,4,5,5,5,6,3,3,3,3,2,3,2,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
15,16/02/2025 13:35:45,True,< Once every 3 years,<15 years old,Male,No income,singaporean/pr,Family,low,Afternoon (12pm-5pm),School Holidays,"To spend time with family/friends, For a relaxing getaway or vacation","TV commercials, YouTube videos or influencer content (can be overseas theme parks as well)","New attractions or event announcements, Interactive experiences (e.g., virtual tours, social media contests)",6,4,3,4,6,6,4,4,4,5,5,5,6,3,3,3,3,2,3,2,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",,,,,,,,
16,16/02/2025 13:44:13,True,< Once every 3 years,36-45 years old,Male,"$2,000 - $5,999",singaporean/pr,Family,low,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), School Holidays","To spend time with family/friends, For a relaxing getaway or vacation",Social media ads,"Discounts, special offers, or bundles",7,4,5,4,6,6,6,6,6,5,6,6,6,5,5,5,5,3,5,5,5,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17,16/02/2025 13:55:56,True,When on vacation,19-25 years old,Male,Below $2000,singaporean/pr,"Single (I go alone), Friends, Family",medium,"Morning (10am-12pm), Afternoon (12pm-5pm)","Fridays, Saturdays, Sundays, Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area","Social media ads, TV commercials, YouTube videos or influencer content (can be overseas theme parks as well), Email newsletter or promotional offers, Online banner ads, Billboard or outdoor ads, Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",5,3,2,3,5,5,4,5,5,5,5,5,5,2,1,2,3,3,2,3,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
18,16/02/2025 14:21:18,True,< Once every 3 years,55 and above,Male,"$2,000 - $5,999",singaporean/pr,Family,medium,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, Sundays, Public Holidays",To spend time with family/friends,TV commercials,New attractions or event announcements,4,5,2,1,6,5,7,7,7,5,4,7,2,2,1,2,2,3,3,5,2,"Costs (F&B, admission tickets, etc.), Unpredictable weather conditions",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
19,16/02/2025 17:25:58,False,When on vacation,36-45 years old,Female,"$2,000 - $5,999",singaporean/pr,Friends,high,Morning (10am-12pm),"For special events (eg. Halloween, Christmas etc.)","As part of a larger travel plan (e.g., trip to the area)",YouTube videos or influencer content (can be overseas theme parks as well),New attractions or event announcements,4,2,2,4,6,5,5,5,5,5,4,6,6,4,4,4,4,2,3,3,4,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
20,16/02/2025 18:16:02,True,When on vacation,46-54 years old,Female,"$6,000 - $9,999",singaporean/pr,Couple (I go with my partner),medium,Morning (10am-12pm),Evenings/Night visits (After 6pm),"As part of a larger travel plan (e.g., trip to the area)","Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",4,3,1,2,5,5,4,5,4,4,5,4,2,5,5,5,5,3,5,3,5,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
21,16/02/2025 20:56:09,True,< Once every 3 years,19-25 years old,Female,No income,singaporean/pr,"Friends, Family",medium,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",Weekdays (Mondays to Thursdays),"To spend time with family/friends, For a relaxing getaway or vacation","Social media ads, Print advertisements (e.g., magazines, brochures)","Discounts, special offers, or bundles, Behind-the-scenes content or exclusive previews",4,2,1,5,5,5,6,7,6,5,5,4,6,4,2,5,3,4,4,5,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
22,16/02/2025 21:34:16,True,Once every year,19-25 years old,Male,Below $2000,singaporean/pr,"Couple (I go with my partner), Family",high,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, Sundays, For special events (eg. Halloween, Christmas etc.)",To spend time with family/friends,"Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",6,4,4,6,7,5,6,6,6,6,6,6,5,1,1,1,1,1,1,1,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
23,16/02/2025 21:34:42,True,A few times every year,19-25 years old,Others,"$2,000 - $5,999",singaporean/pr,"Couple (I go with my partner), Family",high,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Fridays, Saturdays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, To visit a newly opened or recently renovated park/area","YouTube videos or influencer content (can be overseas theme parks as well), Online banner ads","User-generated content (e.g., visitor testimonials, influencer partnerships), Interactive experiences (e.g., virtual tours, social media contests)",4,2,2,5,5,7,7,7,7,7,7,7,7,1,3,5,4,1,1,1,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
24,16/02/2025 21:36:31,True,< Once every 3 years,36-45 years old,Others,"$6,000 - $9,999",singaporean/pr,Friends,high,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), Evenings/Night visits (After 6pm)",To spend time with family/friends,"Social media ads, TV commercials, YouTube videos or influencer content (can be overseas theme parks as well), Online banner ads, Billboard or outdoor ads, Print advertisements (e.g., magazines, brochures)","Discounts, special offers, or bundles, New attractions or event announcements",4,5,5,7,4,5,5,6,6,7,6,6,5,3,3,2,1,1,3,4,5,"Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I decide based on which rides are closest to me at the moment.,Transportation,,,,,,,
25,16/02/2025 23:33:29,True,Once every 2-3 years,36-45 years old,Male,"$6,000 - $9,999",singaporean/pr,Couple (I go with my partner),no_rides,Evening (5pm-7pm),Saturdays,"To experience a specific attraction or ride, Because of a special promotion or discount, To spend time with family/friends","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements, Behind-the-scenes content or exclusive previews",6,5,5,5,6,6,6,6,5,5,5,6,6,3,3,3,3,1,2,3,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
26,17/02/2025 00:02:07,True,Once every 2-3 years,19-25 years old,Female,Below $2000,singaporean/pr,"Friends, Family",low,Evening (5pm-7pm),"For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises)","Social media ads, Print advertisements (e.g., magazines, brochures), Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",7,1,1,7,7,7,7,3,7,7,7,4,4,5,3,5,5,2,5,2,5,"Costs (F&B, admission tickets, etc.)",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
27,17/02/2025 08:17:57,True,< Once every 3 years,19-25 years old,Male,No income,singaporean/pr,Family,medium,Evening (5pm-7pm),"Fridays, Saturdays",To spend time with family/friends,Social media ads,"Discounts, special offers, or bundles, Behind-the-scenes content or exclusive previews, User-generated content (e.g., visitor testimonials, influencer partnerships)",6,1,4,2,4,3,3,4,4,3,3,3,3,5,3,5,3,1,5,5,4,Boring,I decide based on which rides are closest to me at the moment.,Transportation,,,,,,,
28,17/02/2025 09:16:24,True,< Once every 3 years,19-25 years old,Male,No income,singaporean/pr,"Couple (I go with my partner), Family",medium,"Morning (10am-12pm), Afternoon (12pm-5pm)",Weekdays (Mondays to Thursdays),To spend time with family/friends,"Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",6,1,6,4,6,3,7,5,6,5,5,6,2,4,1,1,1,2,5,5,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Fear of rollercoasters",I decide based on which rides are closest to me at the moment.,,,,,,,,
29,17/02/2025 09:17:00,True,< Once every 3 years,36-45 years old,Female,"$2,000 - $5,999",singaporean/pr,Friends,medium,Morning (10am-12pm),"Saturdays, Sundays, Public Holidays, For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends","Social media ads, Email newsletter or promotional offers, Online banner ads","Discounts, special offers, or bundles",7,4,4,4,6,6,7,5,6,6,5,6,6,5,5,5,5,1,1,1,5,"Crowd, Costs (F&B, admission tickets, etc.)","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
30,17/02/2025 09:51:12,True,< Once every 3 years,19-25 years old,Male,No income,singaporean/pr,Family,medium,"Morning (10am-12pm), Afternoon (12pm-5pm)","School Holidays, For special events (eg. Halloween, Christmas etc.)",Because of a special promotion or discount,"Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles",4,3,3,4,6,6,6,6,6,6,6,5,5,3,1,2,1,2,2,5,3,"Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
31,17/02/2025 09:52:12,True,< Once every 3 years,19-25 years old,Male,No income,singaporean/pr,Friends,high,Afternoon (12pm-5pm),"Saturdays, Sundays",To spend time with family/friends,Social media ads,New attractions or event announcements,7,4,1,4,7,7,7,7,6,7,7,7,5,1,1,1,1,1,1,1,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
32,17/02/2025 10:04:40,True,Once every 2-3 years,19-25 years old,Male,No income,singaporean/pr,Friends,high,"Morning (10am-12pm), Afternoon (12pm-5pm)","Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements",7,6,3,4,6,6,6,6,6,6,6,6,6,2,1,2,2,2,2,3,2,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
33,17/02/2025 10:12:34,True,< Once every 3 years,19-25 years old,Male,No income,singaporean/pr,"Friends, Family",high,Afternoon (12pm-5pm),Weekdays (Mondays to Thursdays),"To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",7,6,2,7,7,5,6,6,7,7,7,7,6,2,1,1,1,1,1,4,1,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
34,17/02/2025 10:48:55,True,< Once every 3 years,15-18 years old,Female,No income,singaporean/pr,Friends,high,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",School Holidays,To spend time with family/friends,Social media ads,"Discounts, special offers, or bundles",4,2,4,2,4,4,4,5,4,4,4,4,4,3,3,4,4,4,3,5,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
35,17/02/2025 10:52:03,True,Once every 2-3 years,19-25 years old,Male,Below $2000,singaporean/pr,"Friends, Family",high,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), Fridays, Public Holidays, School Holidays","Because of a special promotion or discount, To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)","Social media ads, Email newsletter or promotional offers, Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",6,4,2,3,6,6,6,6,6,7,6,5,6,3,1,1,1,2,3,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
36,17/02/2025 10:55:03,True,Once every 2-3 years,19-25 years old,Male,"$2,000 - $5,999",singaporean/pr,"Friends, Family",high,Afternoon (12pm-5pm),"Fridays, Saturdays, Sundays, Public Holidays","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends","Social media ads, TV commercials, Online banner ads, Theme park websites or blogs","Discounts, special offers, or bundles, New attractions or event announcements",7,5,3,7,6,6,6,6,6,6,7,7,7,1,1,2,2,1,1,1,1,Long wait time,I follow a planned route with specific rides in mind.,F&B,,,,,,,
37,17/02/2025 11:27:42,True,Once every year,46-54 years old,Female,"$6,000 - $9,999",singaporean/pr,"Friends, Family",low,Morning (10am-12pm),Saturdays,"To spend time with family/friends, For a relaxing getaway or vacation","Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, Interactive experiences (e.g., virtual tours, social media contests)",6,5,4,4,5,5,5,6,5,5,5,5,6,2,2,2,2,2,2,2,2,"Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
38,17/02/2025 11:51:14,True,Once every year,36-45 years old,Male,"$2,000 - $5,999",thai,"Couple (I go with my partner), Friends, Family",medium,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), Saturdays","To spend time with family/friends, For a relaxing getaway or vacation",Theme park websites or blogs,"Discounts, special offers, or bundles, New attractions or event announcements",7,5,1,1,7,6,6,7,7,5,7,7,7,4,4,4,4,4,4,4,3,"Crowd, Long wait time",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
39,17/02/2025 12:03:26,True,Once every 2-3 years,19-25 years old,Male,No income,singaporean/pr,"Couple (I go with my partner), Friends, Family",high,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), Public Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","Social media ads, Email newsletter or promotional offers, Online banner ads","Discounts, special offers, or bundles, New attractions or event announcements, Behind-the-scenes content or exclusive previews",5,1,4,4,7,7,7,7,7,7,7,7,7,1,1,4,1,1,1,5,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
40,17/02/2025 12:15:58,True,< Once every 3 years,36-45 years old,Female,"$2,000 - $5,999",singaporean/pr,Family,low,"Morning (10am-12pm), Afternoon (12pm-5pm)",School Holidays,"Because of a special promotion or discount, To spend time with family/friends",Social media ads,"Discounts, special offers, or bundles, User-generated content (e.g., visitor testimonials, influencer partnerships)",7,5,5,4,7,5,7,6,6,6,6,7,4,2,1,2,2,1,2,1,1,"Costs (F&B, admission tickets, etc.)",I decide based on which rides are closest to me at the moment.,Merchandise,,,,,,,
41,17/02/2025 12:26:02,True,When on vacation,36-45 years old,Female,"$6,000 - $9,999",filipino,"Single (I go alone), Friends, Family",high,Morning (10am-12pm),"Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","Because of a special promotion or discount, To spend time with family/friends",Theme park websites or blogs,"Discounts, special offers, or bundles",4,7,1,4,7,5,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
