date,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating
2014-04-22,61.25,59.17,60.0,52.33,56.0,57.75,north_avg_daily_psi,Moderate
2014-04-23,64.17,61.33,66.58,58.58,61.42,62.42,east_avg_daily_psi,Moderate
2014-04-24,56.75,56.92,53.33,59.33,56.42,56.55,west_avg_daily_psi,Moderate
2014-04-25,60.0,55.0,59.33,59.0,57.5,58.17,north_avg_daily_psi,Moderate
2014-04-26,70.17,65.58,68.83,70.83,69.0,68.88,west_avg_daily_psi,Moderate
2014-04-27,64.5,58.83,56.5,67.33,63.17,62.07,west_avg_daily_psi,Moderate
2014-04-28,62.0,58.0,59.17,67.25,63.67,62.02,west_avg_daily_psi,Moderate
2014-04-29,62.25,59.33,60.83,56.75,61.5,60.13,north_avg_daily_psi,Moderate
2014-04-30,66.75,66.67,70.33,63.67,65.75,66.63,east_avg_daily_psi,Moderate
2014-05-01,67.42,55.0,56.42,66.08,60.0,60.98,north_avg_daily_psi,Moderate
2014-05-02,56.42,52.33,52.92,51.17,57.33,54.03,central_avg_daily_psi,Moderate
2014-05-03,54.83,48.92,43.5,54.08,50.92,50.45,north_avg_daily_psi,Good
2014-05-04,57.83,39.92,48.25,56.17,53.33,51.1,north_avg_daily_psi,Moderate
2014-05-05,53.58,51.08,52.83,58.08,54.5,54.02,west_avg_daily_psi,Moderate
2014-05-06,53.92,50.75,47.0,58.92,51.92,52.5,west_avg_daily_psi,Moderate
2014-05-07,54.0,51.33,49.33,56.0,51.0,52.33,west_avg_daily_psi,Moderate
2014-05-08,51.33,47.33,51.75,45.0,46.5,48.38,east_avg_daily_psi,Good
2014-05-09,66.67,59.92,61.08,59.33,64.67,62.33,north_avg_daily_psi,Moderate
2014-05-10,59.0,57.33,54.42,64.83,56.25,58.37,west_avg_daily_psi,Moderate
2014-05-11,55.33,49.58,48.83,56.83,48.58,51.83,west_avg_daily_psi,Moderate
2014-05-12,61.33,54.67,58.75,61.67,59.0,59.08,west_avg_daily_psi,Moderate
2014-05-13,60.75,56.75,54.83,59.0,56.5,57.57,north_avg_daily_psi,Moderate
2014-05-14,66.17,58.75,61.33,55.75,63.92,61.18,north_avg_daily_psi,Moderate
2014-05-15,58.0,52.25,53.75,51.25,54.67,53.98,north_avg_daily_psi,Moderate
2014-05-16,51.5,48.75,39.83,51.83,50.92,48.57,west_avg_daily_psi,Good
2014-05-17,52.75,51.83,46.33,54.5,52.25,51.53,west_avg_daily_psi,Moderate
2014-05-18,52.58,41.83,37.17,38.92,46.83,43.47,north_avg_daily_psi,Good
2014-05-19,51.75,39.42,42.08,37.0,43.92,42.83,north_avg_daily_psi,Good
2014-05-20,40.17,38.0,36.25,50.0,40.33,40.95,west_avg_daily_psi,Good
2014-05-21,58.08,55.75,53.42,55.0,55.08,55.47,north_avg_daily_psi,Moderate
2014-05-22,68.83,62.0,64.67,63.67,65.83,65.0,north_avg_daily_psi,Moderate
2014-05-23,50.08,43.08,43.58,52.75,47.83,47.47,west_avg_daily_psi,Good
2014-05-24,54.75,52.67,49.83,56.08,52.67,53.2,west_avg_daily_psi,Moderate
2014-05-25,54.33,47.75,43.25,52.67,47.0,49.0,north_avg_daily_psi,Good
2014-05-26,41.83,27.75,29.25,52.75,35.92,37.5,west_avg_daily_psi,Good
2014-05-27,63.0,55.5,56.42,55.08,53.17,56.63,north_avg_daily_psi,Moderate
2014-05-28,56.75,54.25,52.67,41.75,51.67,51.42,north_avg_daily_psi,Moderate
2014-05-29,53.5,47.67,46.0,53.58,46.08,49.37,west_avg_daily_psi,Good
2014-05-30,60.58,55.75,58.17,59.67,60.0,58.83,north_avg_daily_psi,Moderate
2014-05-31,57.08,53.5,54.67,49.17,55.83,54.05,north_avg_daily_psi,Moderate
2014-06-01,36.33,33.25,32.67,39.83,37.92,36.0,west_avg_daily_psi,Good
2014-06-02,43.42,35.83,34.92,48.25,36.92,39.87,west_avg_daily_psi,Good
2014-06-03,52.83,49.75,47.83,56.67,50.5,51.52,west_avg_daily_psi,Moderate
2014-06-04,53.33,51.08,43.17,54.67,50.42,50.53,west_avg_daily_psi,Good
2014-06-05,52.67,39.92,39.67,51.58,45.5,45.87,north_avg_daily_psi,Good
2014-06-06,52.0,45.92,45.5,39.58,48.17,46.23,north_avg_daily_psi,Good
2014-06-07,58.42,54.42,55.58,53.0,51.92,54.67,north_avg_daily_psi,Moderate
2014-06-08,47.42,38.67,35.0,50.33,41.25,42.53,west_avg_daily_psi,Good
2014-06-09,41.08,46.42,38.58,49.25,33.5,41.77,west_avg_daily_psi,Good
2014-06-10,58.5,51.67,51.17,60.58,50.0,54.38,west_avg_daily_psi,Moderate
2014-06-11,56.92,50.42,50.42,56.5,54.08,53.67,north_avg_daily_psi,Moderate
2014-06-12,45.08,39.58,42.92,50.33,48.25,45.23,west_avg_daily_psi,Good
2014-06-13,52.75,51.33,52.17,54.25,51.75,52.45,west_avg_daily_psi,Moderate
2014-06-14,52.92,52.08,53.33,55.5,52.67,53.3,west_avg_daily_psi,Moderate
2014-06-15,39.33,48.0,44.5,52.83,44.5,45.83,west_avg_daily_psi,Good
2014-06-16,51.58,49.67,50.17,52.25,49.58,50.65,west_avg_daily_psi,Good
2014-06-17,48.25,45.58,50.42,52.25,47.75,48.85,west_avg_daily_psi,Good
2014-06-18,43.92,45.67,43.58,52.75,45.83,46.35,west_avg_daily_psi,Good
2014-06-19,48.17,48.17,39.67,49.25,48.42,46.73,west_avg_daily_psi,Good
2014-06-20,52.58,49.0,48.92,52.25,50.5,50.65,north_avg_daily_psi,Good
2014-06-21,47.17,49.25,41.92,53.5,50.42,48.45,west_avg_daily_psi,Good
2014-06-22,56.0,54.25,54.33,56.17,54.42,55.03,west_avg_daily_psi,Moderate
2014-06-23,62.33,59.0,61.58,61.0,61.58,61.1,north_avg_daily_psi,Moderate
2014-06-24,63.08,60.0,64.17,63.58,62.58,62.68,east_avg_daily_psi,Moderate
2014-06-25,56.83,55.25,55.5,59.25,55.17,56.4,west_avg_daily_psi,Moderate
2014-06-26,40.83,44.33,37.92,53.58,43.42,44.02,west_avg_daily_psi,Good
2014-06-27,52.17,51.67,49.75,52.67,46.5,50.55,west_avg_daily_psi,Good
2014-06-28,54.25,53.0,51.92,53.75,52.5,53.08,north_avg_daily_psi,Moderate
2014-06-29,57.33,53.08,51.92,55.83,54.75,54.58,north_avg_daily_psi,Moderate
2014-06-30,56.58,51.25,52.75,55.0,54.25,53.97,north_avg_daily_psi,Moderate
2014-07-01,51.42,51.17,45.33,52.42,51.67,50.4,west_avg_daily_psi,Good
2014-07-02,57.08,51.08,48.58,58.58,52.08,53.48,west_avg_daily_psi,Moderate
2014-07-03,58.25,55.25,55.42,59.67,56.83,57.08,west_avg_daily_psi,Moderate
2014-07-04,60.17,58.67,58.75,62.42,57.25,59.45,west_avg_daily_psi,Moderate
2014-07-05,60.5,58.17,57.83,62.25,60.0,59.75,west_avg_daily_psi,Moderate
2014-07-06,58.5,57.58,53.08,57.08,55.92,56.43,north_avg_daily_psi,Moderate
2014-07-07,53.25,54.75,52.0,54.0,50.92,52.98,south_avg_daily_psi,Moderate
2014-07-08,53.25,52.58,48.75,50.75,48.92,50.85,north_avg_daily_psi,Good
2014-07-09,54.17,53.33,52.25,54.08,54.0,53.57,north_avg_daily_psi,Moderate
2014-07-10,41.5,40.42,39.17,52.5,41.17,42.95,west_avg_daily_psi,Good
2014-07-11,55.67,52.17,52.0,58.25,52.0,54.02,west_avg_daily_psi,Moderate
2014-07-12,56.42,54.25,52.75,56.42,52.92,54.55,north_avg_daily_psi,Moderate
2014-07-13,56.0,53.17,54.25,33.58,54.17,50.23,north_avg_daily_psi,Good
2014-07-14,48.25,49.42,42.83,52.83,39.92,46.65,west_avg_daily_psi,Good
2014-07-15,55.25,53.5,53.33,55.33,52.83,54.05,west_avg_daily_psi,Moderate
2014-07-16,55.83,53.0,54.17,56.5,52.0,54.3,west_avg_daily_psi,Moderate
2014-07-17,61.67,55.58,56.17,61.75,55.17,58.07,west_avg_daily_psi,Moderate
2014-07-18,58.67,54.17,55.0,56.92,56.5,56.25,north_avg_daily_psi,Moderate
2014-07-19,55.92,54.25,52.25,56.25,53.58,54.45,west_avg_daily_psi,Moderate
2014-07-20,54.92,52.33,50.58,54.75,52.0,52.92,north_avg_daily_psi,Moderate
2014-07-21,50.25,47.42,46.5,52.92,48.67,49.15,west_avg_daily_psi,Good
2014-07-22,44.0,46.92,46.92,52.75,47.83,47.68,west_avg_daily_psi,Good
2014-07-23,49.75,47.33,46.08,53.67,49.92,49.35,west_avg_daily_psi,Good
2014-07-24,53.58,53.33,54.33,57.58,53.67,54.5,west_avg_daily_psi,Moderate
2014-07-25,59.25,56.83,58.42,60.83,56.08,58.28,west_avg_daily_psi,Moderate
2014-07-26,60.25,57.58,57.17,60.33,55.83,58.23,west_avg_daily_psi,Moderate
2014-07-27,57.33,53.67,54.83,58.17,54.25,55.65,west_avg_daily_psi,Moderate
2014-07-28,54.33,51.17,53.0,54.58,54.0,53.42,west_avg_daily_psi,Moderate
2014-07-29,52.0,51.42,52.25,56.08,54.25,53.2,west_avg_daily_psi,Moderate
2014-07-30,54.5,53.17,49.17,54.83,52.92,52.92,west_avg_daily_psi,Moderate
2014-07-31,55.5,55.42,54.0,56.75,54.83,55.3,west_avg_daily_psi,Moderate
2014-08-01,38.75,35.17,31.83,38.67,33.92,35.67,north_avg_daily_psi,Good
2014-08-02,49.17,49.17,47.92,52.42,50.17,49.77,west_avg_daily_psi,Good
2014-08-03,57.33,55.17,55.58,57.67,55.5,56.25,west_avg_daily_psi,Moderate
2014-08-04,57.08,54.58,55.92,56.67,55.83,56.02,north_avg_daily_psi,Moderate
2014-08-05,53.58,55.17,54.42,57.83,55.08,55.22,west_avg_daily_psi,Moderate
2014-08-06,43.5,42.67,40.0,48.08,39.5,42.75,west_avg_daily_psi,Good
2014-08-07,41.08,43.67,38.0,47.75,38.75,41.85,west_avg_daily_psi,Good
2014-08-08,35.5,35.5,38.83,46.17,36.08,38.42,west_avg_daily_psi,Good
2014-08-09,39.83,39.42,36.17,43.67,43.92,40.6,central_avg_daily_psi,Good
2014-08-10,34.33,24.92,25.5,32.0,27.92,28.93,north_avg_daily_psi,Good
2014-08-11,33.67,30.42,29.17,39.25,28.75,32.25,west_avg_daily_psi,Good
2014-08-12,46.67,41.67,33.5,48.08,39.5,41.88,west_avg_daily_psi,Good
2014-08-13,48.75,48.25,41.83,52.0,48.42,47.85,west_avg_daily_psi,Good
2014-08-14,53.17,50.0,43.67,50.33,50.33,49.5,north_avg_daily_psi,Good
2014-08-15,47.0,47.5,38.25,51.58,45.67,46.0,west_avg_daily_psi,Good
2014-08-16,60.42,55.92,55.42,58.42,60.17,58.07,north_avg_daily_psi,Moderate
2014-08-17,59.33,54.92,54.92,61.08,58.0,57.65,west_avg_daily_psi,Moderate
2014-08-18,56.42,53.0,52.92,58.42,53.75,54.9,west_avg_daily_psi,Moderate
2014-08-19,58.42,56.17,56.0,60.42,56.0,57.4,west_avg_daily_psi,Moderate
2014-08-20,59.25,53.83,56.08,60.92,56.5,57.32,west_avg_daily_psi,Moderate
2014-08-21,60.5,57.33,57.17,63.58,58.42,59.4,west_avg_daily_psi,Moderate
2014-08-22,61.25,59.83,58.08,63.08,60.33,60.52,west_avg_daily_psi,Moderate
2014-08-23,52.67,45.92,43.42,55.92,45.33,48.65,west_avg_daily_psi,Good
2014-08-24,55.5,49.42,45.58,53.42,50.5,50.88,north_avg_daily_psi,Good
2014-08-25,56.83,57.25,55.5,57.42,56.25,56.65,west_avg_daily_psi,Moderate
2014-08-26,62.58,60.08,59.5,62.17,61.08,61.08,north_avg_daily_psi,Moderate
2014-08-27,58.25,56.83,56.42,58.42,58.0,57.58,west_avg_daily_psi,Moderate
2014-08-28,56.17,53.0,52.67,52.67,53.83,53.67,north_avg_daily_psi,Moderate
2014-08-29,52.17,51.25,48.17,48.83,49.58,50.0,north_avg_daily_psi,Good
2014-08-30,58.25,56.42,55.58,60.17,55.33,57.15,west_avg_daily_psi,Moderate
2014-08-31,59.67,52.75,52.83,59.83,53.25,55.67,west_avg_daily_psi,Moderate
2014-09-01,56.58,56.08,55.75,58.67,55.17,56.45,west_avg_daily_psi,Moderate
2014-09-02,62.08,60.0,59.58,64.58,59.42,61.13,west_avg_daily_psi,Moderate
2014-09-03,65.5,63.92,63.17,65.92,65.25,64.75,west_avg_daily_psi,Moderate
2014-09-04,65.83,64.33,61.92,63.33,63.67,63.82,north_avg_daily_psi,Moderate
2014-09-05,70.5,69.33,67.17,73.33,68.5,69.77,west_avg_daily_psi,Moderate
2014-09-06,59.83,57.75,59.33,54.5,59.33,58.15,north_avg_daily_psi,Moderate
2014-09-07,51.17,41.08,36.75,43.17,40.58,42.55,north_avg_daily_psi,Good
2014-09-08,61.5,58.25,59.17,59.42,58.5,59.37,north_avg_daily_psi,Moderate
2014-09-09,61.08,62.25,61.17,63.25,63.0,62.15,west_avg_daily_psi,Moderate
2014-09-10,64.83,63.75,64.08,61.5,62.83,63.4,north_avg_daily_psi,Moderate
2014-09-11,61.08,61.92,58.58,62.17,61.25,61.0,west_avg_daily_psi,Moderate
2014-09-12,67.25,64.25,62.25,66.5,65.83,65.22,north_avg_daily_psi,Moderate
2014-09-13,63.92,62.5,63.0,66.25,65.17,64.17,west_avg_daily_psi,Moderate
2014-09-14,64.17,64.17,65.33,72.08,64.25,66.0,west_avg_daily_psi,Moderate
2014-09-15,74.75,78.42,79.67,99.08,73.67,81.12,west_avg_daily_psi,Moderate
2014-09-16,69.08,72.83,70.5,79.0,71.25,72.53,west_avg_daily_psi,Moderate
2014-09-17,60.5,59.17,58.83,62.5,58.0,59.8,west_avg_daily_psi,Moderate
2014-09-18,80.5,83.67,80.58,86.08,78.75,81.92,west_avg_daily_psi,Moderate
2014-09-19,100.25,104.33,99.67,92.75,97.5,98.9,south_avg_daily_psi,Moderate
2014-09-20,74.58,75.25,73.0,78.58,73.0,74.88,west_avg_daily_psi,Moderate
2014-09-21,55.75,52.92,54.25,53.5,53.08,53.9,north_avg_daily_psi,Moderate
2014-09-22,83.08,78.42,82.33,78.58,82.08,80.9,north_avg_daily_psi,Moderate
2014-09-23,66.5,61.5,62.75,67.5,63.0,64.25,west_avg_daily_psi,Moderate
2014-09-24,66.92,65.67,64.08,69.33,63.33,65.87,west_avg_daily_psi,Moderate
2014-09-25,63.17,61.5,61.25,63.0,60.25,61.83,north_avg_daily_psi,Moderate
2014-09-26,59.83,54.33,57.67,62.08,55.75,57.93,west_avg_daily_psi,Moderate
2014-09-27,66.42,66.0,64.0,73.92,65.83,67.23,west_avg_daily_psi,Moderate
2014-09-28,66.0,63.67,64.08,74.75,65.0,66.7,west_avg_daily_psi,Moderate
2014-09-29,73.17,69.58,70.5,79.08,71.42,72.75,west_avg_daily_psi,Moderate
2014-09-30,70.67,70.17,69.42,75.83,68.92,71.0,west_avg_daily_psi,Moderate
2014-10-01,80.17,77.83,75.58,85.92,75.67,79.03,west_avg_daily_psi,Moderate
2014-10-02,70.75,71.33,67.67,75.58,66.83,70.43,west_avg_daily_psi,Moderate
2014-10-03,72.42,74.92,71.67,78.25,70.58,73.57,west_avg_daily_psi,Moderate
2014-10-04,69.17,71.83,70.0,74.08,67.42,70.5,west_avg_daily_psi,Moderate
2014-10-05,60.75,60.17,62.83,59.58,59.5,60.57,east_avg_daily_psi,Moderate
2014-10-06,44.83,45.58,50.83,42.5,44.58,45.67,east_avg_daily_psi,Good
2014-10-07,104.25,120.75,112.08,119.58,109.75,113.28,south_avg_daily_psi,Unhealthy
2014-10-08,71.83,74.17,73.25,77.75,71.33,73.67,west_avg_daily_psi,Moderate
2014-10-09,75.08,79.67,75.58,88.42,75.33,78.82,west_avg_daily_psi,Moderate
2014-10-10,62.83,61.58,61.83,68.0,58.75,62.6,west_avg_daily_psi,Moderate
2014-10-11,65.58,67.42,66.92,69.75,64.67,66.87,west_avg_daily_psi,Moderate
2014-10-12,89.17,102.42,98.42,100.42,93.08,96.7,south_avg_daily_psi,Moderate
2014-10-13,71.0,81.58,76.0,85.67,73.75,77.6,west_avg_daily_psi,Moderate
2014-10-14,67.92,68.17,66.42,79.25,66.42,69.63,west_avg_daily_psi,Moderate
2014-10-15,69.5,71.67,66.17,71.17,68.25,69.35,south_avg_daily_psi,Moderate
2014-10-16,65.92,71.5,67.0,82.25,68.75,71.08,west_avg_daily_psi,Moderate
2014-10-17,59.92,59.5,59.08,66.08,57.83,60.48,west_avg_daily_psi,Moderate
2014-10-18,64.75,66.33,64.17,67.42,63.75,65.28,west_avg_daily_psi,Moderate
2014-10-19,73.75,85.0,85.33,76.75,77.67,79.7,east_avg_daily_psi,Moderate
2014-10-20,87.08,90.75,87.5,102.5,83.17,90.2,west_avg_daily_psi,Moderate
2014-10-21,76.33,74.42,74.75,90.42,72.25,77.63,west_avg_daily_psi,Moderate
2014-10-22,65.58,69.42,68.67,69.42,65.25,67.67,south_avg_daily_psi,Moderate
2014-10-23,68.42,68.0,67.67,73.67,68.17,69.18,west_avg_daily_psi,Moderate
2014-10-24,73.58,75.08,76.0,74.67,75.67,75.0,east_avg_daily_psi,Moderate
2014-10-25,73.33,71.83,68.83,77.5,67.92,71.88,west_avg_daily_psi,Moderate
2014-10-26,66.75,64.42,65.0,72.08,61.67,65.98,west_avg_daily_psi,Moderate
2014-10-27,63.42,56.83,61.67,64.25,55.67,60.37,west_avg_daily_psi,Moderate
2014-10-28,56.08,58.25,60.0,57.0,56.33,57.53,east_avg_daily_psi,Moderate
2014-10-29,67.75,73.92,73.0,75.0,72.67,72.47,west_avg_daily_psi,Moderate
2014-10-30,69.67,65.25,63.42,75.0,64.25,67.52,west_avg_daily_psi,Moderate
2014-10-31,66.0,69.67,72.83,74.42,67.42,70.07,west_avg_daily_psi,Moderate
2014-11-01,69.17,70.0,65.67,63.92,65.08,66.77,south_avg_daily_psi,Moderate
2014-11-02,65.5,67.17,65.33,63.92,66.67,65.72,south_avg_daily_psi,Moderate
2014-11-03,98.75,106.67,99.25,107.92,99.33,102.38,west_avg_daily_psi,Unhealthy
2014-11-04,83.25,86.92,79.17,88.0,79.33,83.33,west_avg_daily_psi,Moderate
2014-11-05,68.33,70.42,71.17,73.92,68.08,70.38,west_avg_daily_psi,Moderate
2014-11-06,65.75,68.17,70.75,72.75,66.67,68.82,west_avg_daily_psi,Moderate
2014-11-07,63.0,61.92,61.08,59.25,57.83,60.62,north_avg_daily_psi,Moderate
2014-11-08,54.92,60.08,59.58,57.0,56.25,57.57,south_avg_daily_psi,Moderate
2014-11-09,47.67,53.33,51.58,43.67,47.17,48.68,south_avg_daily_psi,Good
2014-11-10,52.5,53.75,55.08,59.33,54.58,55.05,west_avg_daily_psi,Moderate
2014-11-11,63.75,60.5,59.5,67.75,57.25,61.75,west_avg_daily_psi,Moderate
2014-11-12,59.08,68.67,62.42,67.5,63.08,64.15,south_avg_daily_psi,Moderate
2014-11-13,63.92,68.67,63.0,67.17,65.17,65.58,south_avg_daily_psi,Moderate
2014-11-14,44.75,49.0,48.25,37.25,43.25,44.5,south_avg_daily_psi,Good
2014-11-15,43.5,34.08,36.25,28.08,32.58,34.9,north_avg_daily_psi,Good
2014-11-16,39.42,34.17,51.92,34.0,35.0,38.9,east_avg_daily_psi,Good
2014-11-17,43.17,35.58,48.58,37.0,43.92,41.65,east_avg_daily_psi,Good
2014-11-18,38.25,50.83,46.5,40.75,43.67,44.0,south_avg_daily_psi,Good
2014-11-19,51.0,45.33,49.92,50.58,43.33,48.03,north_avg_daily_psi,Good
2014-11-20,34.42,40.08,44.25,39.67,33.67,38.42,east_avg_daily_psi,Good
2014-11-21,44.75,44.42,44.75,39.0,42.33,43.05,north_avg_daily_psi,Good
2014-11-22,55.08,45.0,42.17,53.92,41.92,47.62,north_avg_daily_psi,Good
2014-11-23,53.0,43.58,46.25,55.08,47.67,49.12,west_avg_daily_psi,Good
2014-11-24,45.08,51.5,50.75,41.0,42.58,46.18,south_avg_daily_psi,Good
2014-11-25,41.5,52.0,52.33,46.92,42.42,47.03,east_avg_daily_psi,Good
2014-11-26,46.17,52.67,56.17,43.5,50.75,49.85,east_avg_daily_psi,Good
2014-11-27,50.17,48.25,56.58,39.58,46.33,48.18,east_avg_daily_psi,Good
2014-11-28,50.75,52.25,48.67,51.67,48.17,50.3,south_avg_daily_psi,Good
2014-11-29,42.83,37.58,40.0,38.75,38.0,39.43,north_avg_daily_psi,Good
2014-11-30,40.92,35.83,48.42,32.83,35.0,38.6,east_avg_daily_psi,Good
2014-12-01,50.0,49.25,52.08,42.42,53.25,49.4,central_avg_daily_psi,Good
2014-12-02,49.33,45.25,52.08,42.17,51.75,48.12,east_avg_daily_psi,Good
2014-12-03,56.08,54.17,56.08,51.0,54.75,54.42,north_avg_daily_psi,Moderate
2014-12-04,57.75,58.75,57.5,56.33,54.83,57.03,south_avg_daily_psi,Moderate
2014-12-05,55.58,55.5,54.83,53.0,54.67,54.72,north_avg_daily_psi,Moderate
2014-12-06,55.58,60.92,60.17,64.0,62.17,60.57,west_avg_daily_psi,Moderate
2014-12-07,45.33,39.42,52.75,47.75,39.5,44.95,east_avg_daily_psi,Good
2014-12-08,36.0,38.42,46.67,34.42,34.33,37.97,east_avg_daily_psi,Good
2014-12-09,46.92,51.33,49.75,43.0,38.25,45.85,south_avg_daily_psi,Good
2014-12-10,44.25,51.17,52.83,47.08,44.42,47.95,east_avg_daily_psi,Good
2014-12-11,54.08,53.83,55.17,53.33,47.5,52.78,east_avg_daily_psi,Moderate
2014-12-12,51.83,52.67,52.83,54.75,46.42,51.7,west_avg_daily_psi,Moderate
2014-12-13,45.92,42.92,46.42,52.5,41.42,45.83,west_avg_daily_psi,Good
2014-12-14,45.75,49.17,46.5,50.92,45.67,47.6,west_avg_daily_psi,Good
2014-12-15,39.25,45.17,47.58,44.25,37.67,42.78,east_avg_daily_psi,Good
2014-12-16,42.58,33.83,41.83,29.58,27.33,35.03,north_avg_daily_psi,Good
2014-12-17,39.25,43.0,44.5,42.0,33.83,40.52,east_avg_daily_psi,Good
2014-12-18,36.67,41.5,44.42,41.25,34.33,39.63,east_avg_daily_psi,Good
2014-12-19,33.83,33.33,39.75,31.5,28.0,33.28,east_avg_daily_psi,Good
2014-12-20,28.83,24.67,35.33,22.67,27.83,27.87,east_avg_daily_psi,Good
2014-12-21,32.5,27.67,40.25,24.83,28.58,30.77,east_avg_daily_psi,Good
2014-12-22,27.25,29.92,37.67,25.42,24.92,29.03,east_avg_daily_psi,Good
2014-12-23,31.92,42.25,40.17,28.17,29.5,34.4,south_avg_daily_psi,Good
2014-12-24,34.5,42.75,41.83,30.58,32.42,36.42,south_avg_daily_psi,Good
2014-12-25,43.0,41.08,41.33,45.5,32.83,40.75,west_avg_daily_psi,Good
2014-12-26,53.25,52.92,52.92,53.92,51.0,52.8,west_avg_daily_psi,Moderate
2014-12-27,41.08,35.25,51.25,29.25,40.17,39.4,east_avg_daily_psi,Good
2014-12-28,28.92,35.42,35.92,27.42,34.42,32.42,east_avg_daily_psi,Good
2014-12-29,25.25,24.42,28.83,22.83,19.42,24.15,east_avg_daily_psi,Good
2014-12-30,23.33,23.5,23.0,21.08,22.67,22.72,south_avg_daily_psi,Good
2014-12-31,40.42,36.17,45.25,39.92,34.42,39.23,east_avg_daily_psi,Good
2015-01-01,51.5,52.42,53.08,53.5,49.75,52.05,west_avg_daily_psi,Moderate
2015-01-02,55.92,54.58,58.58,55.83,51.67,55.32,east_avg_daily_psi,Moderate
2015-01-03,57.58,56.17,62.92,58.33,52.83,57.57,east_avg_daily_psi,Moderate
2015-01-04,50.0,50.83,56.5,52.67,44.25,50.85,east_avg_daily_psi,Good
2015-01-05,32.75,34.33,40.5,35.92,32.0,35.1,east_avg_daily_psi,Good
2015-01-06,48.08,47.92,53.33,46.67,37.5,46.7,east_avg_daily_psi,Good
2015-01-07,35.33,43.75,44.42,37.92,33.42,38.97,east_avg_daily_psi,Good
2015-01-08,42.17,35.33,44.92,35.83,28.58,37.37,east_avg_daily_psi,Good
2015-01-09,32.67,37.75,35.33,26.83,29.17,32.35,south_avg_daily_psi,Good
2015-01-10,27.75,25.42,36.25,23.92,22.17,27.1,east_avg_daily_psi,Good
2015-01-11,32.25,32.58,46.08,33.92,30.67,35.1,east_avg_daily_psi,Good
2015-01-12,38.67,40.42,46.42,38.33,29.25,38.62,east_avg_daily_psi,Good
2015-01-13,40.42,43.17,51.67,44.0,35.42,42.93,east_avg_daily_psi,Good
2015-01-14,36.92,34.83,41.58,41.42,29.08,36.77,east_avg_daily_psi,Good
2015-01-15,39.5,39.92,50.0,42.33,30.17,40.38,east_avg_daily_psi,Good
2015-01-16,50.92,43.58,54.0,44.5,33.92,45.38,east_avg_daily_psi,Good
2015-01-17,53.33,50.83,57.0,53.17,49.0,52.67,east_avg_daily_psi,Moderate
2015-01-18,52.58,48.42,54.33,52.83,41.08,49.85,east_avg_daily_psi,Good
2015-01-19,45.25,49.08,53.0,51.42,40.5,47.85,east_avg_daily_psi,Good
2015-01-20,52.75,55.33,55.92,57.0,50.25,54.25,west_avg_daily_psi,Moderate
2015-01-21,56.33,59.17,60.58,61.33,55.5,58.58,west_avg_daily_psi,Moderate
2015-01-22,56.08,59.67,61.42,60.67,56.92,58.95,east_avg_daily_psi,Moderate
2015-01-23,62.42,66.33,67.33,65.5,63.58,65.03,east_avg_daily_psi,Moderate
