Date,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1/2/2016,35.4,1,6,42,26.5,30.6,27.2,6.5,33.9
2/2/2016,2.8,0.2,8.4,10.8,27.1,31.6,27,3.9,22.3
3/2/2016,45.4,13.4,9.8,15.2,26.6,32.2,26.7,4.1,26.7
4/2/2016,3.4,0.4,17.6,21.4,29.1,32.7,25.8,6.5,33.2
5/2/2016,2.4,11.6,7.2,2.6,27.3,31.2,27.1,3.6,35
6/2/2016,10.6,0.4,37,6,27.8,32.6,24.8,7.6,25.9
7/2/2016,0.2,1,16.4,24.4,27.1,31.6,25.9,5.9,25.9
8/2/2016,5.2,4.4,0.2,34.2,30,33.6,27.4,6.7,22.7
9/2/2016,19,1.6,9.6,16.8,29.7,29.9,26.9,6.2,25.9
10/2/2016,1.2,18.6,1.4,1.6,27.1,28.7,27.2,4.2,34.6
11/2/2016,4.2,0.8,2.2,39,26.4,32,23.1,5,41
12/2/2016,1.2,2.2,11,29.4,28,32.6,27.2,3.9,29.1
13/2/2016,16.8,25.6,6.4,1.2,26.4,30.6,27.5,3.9,25.6
14/2/2016,5,0.8,0.2,4.8,26.8,32.9,25.2,4.7,32
15/2/2016,23.2,2.6,1.2,10,29.4,29,24.8,4.4,32
16/2/2016,0.2,1.2,1.6,7.2,30,31.7,24.9,6.5,24.8
17/2/2016,18.6,3.6,0.6,0.6,27.2,31.4,27.1,5.4,40
18/2/2016,13,1.2,7.8,21.2,28.5,33.4,26.4,5,18.3
19/2/2016,94.6,13,23.4,35.6,0,27.8,23.3,6.1,40.3
20/2/2016,19.6,12.8,0.6,6.6,27.4,32,25.8,5.4,28.2
21/2/2016,21.2,6,1.2,22.8,28.3,32.4,26.1,4.4,20.9
22/2/2016,0.2,3.8,22.4,16.4,27.5,32.5,24.3,5.8,31
23/2/2016,22.6,0.4,7.2,7,27.9,32.9,27.1,5.8,27.7
24/2/2016,10.4,0.2,27.4,0.2,27.3,32.6,27.5,5.2,32.4
25/2/2016,1,15.6,19,26,27.3,30.1,24.9,6.1,34.6
26/2/2016,37.2,1.6,1.2,1.4,28.1,30.5,24.8,3.2,29.1
27/2/2016,0.6,22.2,0.2,4.4,29.2,34.4,25.3,4.7,24.5
28/2/2016,4,15.4,11.8,1.2,30.3,32.9,25.9,6.1,27.4
29/2/2016,2.4,11.6,24.8,18.6,27.5,28.6,27.3,8,25.6
1/3/2016,0,0,0,0,0,0,0,9.4,30.2
2/3/2016,0,0,0,0,0,0,0,9.7,33.1
3/3/2016,0,0,0,0,29,33,26.8,9,30.6
4/3/2016,0.2,0.2,0.2,0.2,28.7,32.5,27.2,6.8,31
5/3/2016,0.6,0.6,0.6,0.6,28.7,33,26.9,7.6,26.3
6/3/2016,0,0,0,0,29.4,33.6,27.2,7.6,30.2
7/3/2016,0,0,0,0,28.6,31.8,27.1,7.2,31
8/3/2016,11.4,6.2,8.6,10.8,27.8,31.8,24.9,6.8,26.6
9/3/2016,0,0,0,0,28.7,31.9,26.8,9,36.4
10/3/2016,14.8,13.4,14.8,14.8,28.6,32.6,25.7,8.3,29.5
11/3/2016,0,0,0,0,29,32.3,26.8,8.6,35.6
12/3/2016,0,0,0,0,29.5,33.4,26.9,7.6,30.6
13/3/2016,40,15,27.6,36.2,27.8,33.1,23,7.6,45.4
14/3/2016,0,0,0,0,28.9,32.3,26.8,7.2,30.6
15/3/2016,0,0,0,0,29.1,32.7,27,7.2,32.8
16/3/2016,0,0,0,0,28.4,32,26.3,8.3,31.7
17/3/2016,0,0,0,0,29,34.1,26.7,8.3,36.4
18/3/2016,0,0,0,0,28.4,31.5,26.6,9,35.6
19/3/2016,0,0,0,0,28.6,32.3,26.6,8.6,33.1
20/3/2016,0,0,0,0,29,32.1,27.1,7.6,32.4
21/3/2016,0,0,0,0,29.1,31.8,27.4,6.8,29.2
22/3/2016,2.6,2.4,2.6,2.6,29.1,31.4,27.4,6.5,34.9
23/3/2016,0,0,0,0,29.4,33.3,27.2,6.5,25.6
24/3/2016,0,0,0,0,29.1,31.8,27.2,8.3,38.9
25/3/2016,0,0,0,0,29,31.8,27.2,7.6,29.5
26/3/2016,0,0,0,0,29.7,32.9,27.6,7.9,32
27/3/2016,0,0,0,0,30,34.2,27.7,7.6,30.6
28/3/2016,0,0,0,0,29.9,34.1,27.5,8.3,33.8
29/3/2016,0,0,0,0,29.7,33.5,27.5,7.2,30.2
30/3/2016,0,0,0,0,29.5,32.9,27.3,7.2,28.8
31/3/2016,0.2,0.2,0.2,0.2,29.5,33.2,27.4,6.8,24.1
1/4/2016,0,0,0,0,0,33.1,27.2,7.9,37.4
2/4/2016,0,0,0,0,29.6,33.9,27.1,8.6,38.9
3/4/2016,0.8,0.8,0.8,0.8,0,33.2,27.4,6.5,28.8
4/4/2016,0,0,0,0,0,33.6,27.3,7.6,30.6
5/4/2016,0,0,0,0,29,31.5,27.3,7.2,35.6
6/4/2016,0,0,0,0,29.2,31.9,26.9,7.9,39.6
7/4/2016,0,0,0,0,29.2,32.1,26.6,7.9,29.2
8/4/2016,0,0,0,0,29.5,31.8,27.5,8.3,32
9/4/2016,25.2,22.2,25.2,25.2,28.4,32.1,23.8,6.5,34.6
10/4/2016,0,0,0,0,29.3,32.7,26.8,7.9,31
11/4/2016,0,0,0,0,0,32.6,27.9,6.5,27
12/4/2016,5.2,3.8,5,5.2,0,0,0,7.2,23.4
13/4/2016,1.2,1.2,1.2,1.2,0,0,0,7.9,26.6
14/4/2016,0.2,0.2,0.2,0.2,0,32.8,26.7,7.2,25.6
15/4/2016,0.6,0.6,0.6,0.6,0,31.7,26.7,6.8,29.5
16/4/2016,0,0,0,0,0,33.7,27.5,8.3,26.3
17/4/2016,19.6,15.6,18.8,19.6,29.5,34.6,24.7,9.4,37.1
18/4/2016,0,0,0,0,29.4,32.8,26.4,8.6,34.2
19/4/2016,0,0,0,0,30.6,34.3,28.4,9,36.7
20/4/2016,10.8,9,10,10,28.7,31.9,25.9,5.8,28.8
21/4/2016,0,0,0,0,30.2,35.3,27.4,7.2,26.3
22/4/2016,35.4,29.2,34.6,35.4,28.6,31.3,25.2,8.3,31.7
23/4/2016,2.2,2.2,2.2,2.2,29.1,32.5,26.6,6.8,33.5
24/4/2016,0,0,0,0,29.3,31.7,27.7,6.1,21.2
25/4/2016,0,0,0,0,29.3,32.5,28.1,6.1,28.8
26/4/2016,0,0,0,0,29.1,31.8,27.4,7.2,25.2
27/4/2016,0.6,0.6,0.6,0.6,29.3,32.1,26.9,6.5,30.6
28/4/2016,0,0,0,0,29.9,33.5,28.6,7.2,28.1
29/4/2016,9,8.4,9,9,28.9,32.5,25.2,6.8,25.6
30/4/2016,0,0,0,0,28.7,32.6,27,5,24.1
1/5/2016,0,0,0,0,29.7,33.9,27.2,7.6,29.5
2/5/2016,0,0,0,0,29.6,33.9,28.1,7.2,31
3/5/2016,0,0,0,0,30.1,35.3,28,7.6,28.4
4/5/2016,0,0,0,0,30.2,32.7,28.4,9.7,34.9
5/5/2016,0,0,0,0,29.8,33.5,26.9,6.5,32.8
6/5/2016,6,5.6,5.8,5.8,29.5,32.6,26.8,6.5,32.8
7/5/2016,0,0,0,0,29.5,34.2,27.5,6.8,33.8
8/5/2016,0,0,0,0,29.4,31.5,27.4,5.8,22.7
9/5/2016,0,0,0,0,29.9,34.4,28,7.6,30.6
10/5/2016,0,0,0,0,30.2,33.6,28.5,7.9,30.6
11/5/2016,16.6,12.6,16.6,16.6,29.1,32.8,25.6,6.1,31
12/5/2016,0,0,0,0,29.3,32.6,27.5,6.5,37.1
13/5/2016,5.8,5.2,5.6,5.8,28.9,32.2,25,6.5,32
14/5/2016,17.8,10.8,13.6,17,27.7,31.2,24.6,6.1,35.3
15/5/2016,0,0,0,0,28.8,32,26.9,6.5,26.6
16/5/2016,3.4,1.6,2.6,3.4,29,33.2,26.6,6.5,29.5
17/5/2016,0,0,0,0,29.2,31.3,27.4,6.1,21.6
18/5/2016,38,23.8,26.2,29.8,28.7,32.9,24.6,8.3,34.6
19/5/2016,0,0,0,0,28.7,32.2,26.6,6.5,27.7
20/5/2016,0,0,0,0,29.9,32.4,27.8,5.4,19.8
21/5/2016,18.6,9,10.6,11.6,28.7,30.5,25.1,9,47.5
22/5/2016,45.2,28.6,36,40.8,28.2,31.9,24,6.8,36
23/5/2016,0,0,0,0,30.1,33.9,27,6.5,27.7
24/5/2016,0,0,0,0,29.6,31.8,27.2,6.5,23
25/5/2016,0.2,0.2,0.2,0.2,29.9,34.6,25.3,7.2,31.7
26/5/2016,0,0,0,0,28.4,30.9,25.7,6.8,28.8
27/5/2016,0,0,0,0,29.9,32.9,28.6,7.6,29.2
28/5/2016,2.4,2.4,2.4,2.4,29.1,31.7,26.3,6.5,25.9
29/5/2016,10.8,9.2,10.4,10.8,29.5,32.5,26.4,5.4,21.2
30/5/2016,8.4,4.8,7.4,7.8,28,30.6,25.2,6.8,33.8
31/5/2016,0.2,0.2,0.2,0.2,29.4,32.4,25.4,7.2,31.7
1/6/2016,1.4,0.8,1,1.2,28.2,31,25.5,6.8,41.8
2/6/2016,25.4,21,25.4,25.4,28.2,32.1,24.1,5,35.3
3/6/2016,0.2,0.2,0.2,0.2,29,32.4,27.7,5.8,22.7
4/6/2016,3.4,1,1.2,2.2,26.9,28.3,24.7,6.5,36
5/6/2016,0.2,0.2,0.2,0.2,28.6,31.9,26.7,6.5,23.8
6/6/2016,0,0,0,0,29.8,33.2,27.9,7.9,26.3
7/6/2016,0,0,0,0,30,32.8,28.3,7.6,32
8/6/2016,10.4,3.6,5,8.2,28.3,30.6,24.7,6.8,43.9
9/6/2016,0,0,0,0,29.3,32.3,26.8,6.1,24.5
10/6/2016,0.2,0.2,0.2,0.2,28.7,31.2,27.3,5.8,26.6
11/6/2016,5,1.6,2.8,4.8,28.2,30.6,26.1,7.2,27
12/6/2016,0,0,0,0,28.9,31.3,26.1,6.5,32.8
13/6/2016,0.2,0.2,0.2,0.2,29,31.9,26.5,6.5,31
14/6/2016,0.2,0.2,0.2,0.2,28.8,31.4,26.3,6.5,28.8
15/6/2016,0.2,0.2,0.2,0.2,28.5,30.6,26.6,6.1,22
16/6/2016,16.6,7.4,7.4,7.4,28.2,29.8,25.1,6.5,29.5
17/6/2016,134.6,37.6,69.6,111.2,26.5,30,22.5,9.7,40
18/6/2016,0.6,0.4,0.6,0.6,27.7,30.1,25.1,6.5,27
19/6/2016,0.4,0.2,0.2,0.2,27.6,30.6,25.2,5.8,23
20/6/2016,0,0,0,0,28.7,31.8,25.6,6.8,27.4
21/6/2016,0,0,0,0,29.1,32.6,27.6,5.8,23
22/6/2016,13,12,12,12,27.2,30.9,22.4,5.8,37.4
23/6/2016,0,0,0,0,29.4,32.4,26.8,7.2,25.6
24/6/2016,41,12.8,18.8,31.2,26.7,29.1,22.6,6.1,43.2
25/6/2016,0,0,0,0,29.1,32.1,27,7.9,28.8
26/6/2016,0,0,0,0,29,32.2,27.4,6.5,27
27/6/2016,0,0,0,0,28.8,30.8,27.8,6.5,26.6
28/6/2016,0,0,0,0,29.3,32.8,27.4,6.5,19.4
29/6/2016,0,0,0,0,30,33.3,27.9,5.8,18.7
30/6/2016,0,0,0,0,30,33.1,28.2,7.9,22
1/7/2016,0,0,0,0,30,33.7,28.3,7.6,21.6
2/7/2016,0,0,0,0,29.9,33.1,27.9,6.8,20.5
3/7/2016,0,0,0,0,30,33.5,28.2,7.2,23.8
4/7/2016,0,0,0,0,30,33.5,28.1,7.6,22
5/7/2016,0,0,0,0,30,33.2,28,8.3,25.9
6/7/2016,9.2,8.6,9,9,28.7,31.5,24.2,5,30.2
7/7/2016,0,0,0,0,29.5,32.1,27.6,6.8,31.3
8/7/2016,18.2,15.2,17.4,18.2,28.6,31.6,23.7,5.8,41.4
9/7/2016,0,0,0,0,29.7,33,27.6,9,24.5
10/7/2016,0,0,0,0,29.7,32.8,27.8,6.8,21.2
11/7/2016,6.4,3.4,4.2,5.6,27.9,29.6,24.9,5.4,30.6
12/7/2016,0,0,0,0,29.6,32.9,27.3,5.8,22
13/7/2016,3.2,1.2,1.6,2.2,27.5,30.3,25.2,5.4,37.4
14/7/2016,0.4,0.2,0.4,0.4,27.1,30.2,24.7,5,36.7
15/7/2016,2,0.8,1.2,1.6,27.3,30.2,25.2,5,32.4
16/7/2016,0,0,0,0,28.7,31.5,26.5,5.8,19.4
17/7/2016,3.2,3,3.2,3.2,27.7,31.2,25.3,5,30.2
18/7/2016,9.2,6.6,8,9,28.2,31.6,25.4,5,30.2
19/7/2016,28.6,23,25.8,27.4,27.9,31.1,23.7,6.8,26.3
20/7/2016,45.6,20.6,30.4,35.6,27.2,29.6,23.7,4.3,22
21/7/2016,7.2,2,3,4.8,27.5,30.3,24.5,5,39.6
22/7/2016,44.2,23,37,40.2,26.2,29.2,23.7,5.4,22.3
23/7/2016,3.2,2.6,2.6,2.6,27.1,31.6,24.3,6.1,24.1
24/7/2016,24.4,13.4,14.2,14.2,26.8,29.9,23.4,5.4,37.8
25/7/2016,0,0,0,0,27.4,28.7,26,5.4,23.4
26/7/2016,3.6,2.2,2.4,3.2,26.4,29.3,23.8,4.7,44.6
27/7/2016,0,0,0,0,28.5,31.5,25.7,6.1,22.7
28/7/2016,11.4,10.8,11.2,11.4,28,30.7,23.4,6.1,41.8
29/7/2016,0,0,0,0,28.5,31,27,7.2,26.6
30/7/2016,0,0,0,0,28.8,31.4,27.3,6.5,27.7
31/7/2016,0,0,0,0,28.4,31.3,26.8,6.5,26.3
1/8/2016,0,0,0,0,27.8,29.4,26.1,7.2,27.7
2/8/2016,0,0,0,0,28.8,32.1,27,7.9,31.3
3/8/2016,7.6,6.6,6.8,6.8,27.3,29.4,22.1,7.6,64.8
4/8/2016,0,0,0,0,28.2,30.6,26.8,7.9,27
5/8/2016,0,0,0,0,29.3,32.8,27.6,7.9,30.6
6/8/2016,0,0,0,0,28.9,32,27.1,6.8,25.2
7/8/2016,0,0,0,0,29.3,32.3,27.6,7.6,28.4
8/8/2016,0,0,0,0,29.3,32.2,27.4,6.8,24.5
9/8/2016,0,0,0,0,28.9,31.6,27.3,7.2,32.4
10/8/2016,0,0,0,0,29.4,32.4,27.5,7.2,27.4
11/8/2016,0,0,0,0,28.9,31.1,27.7,7.2,42.8
12/8/2016,4.2,4,4,4.2,28.8,31.1,25.7,6.8,40.7
13/8/2016,2.2,2.2,2.2,2.2,29.1,31.6,27.4,6.5,29.5
14/8/2016,0,0,0,0,28.6,30.7,27.3,7.9,37.8
15/8/2016,0,0,0,0,29,32.4,27.3,9,30.6
16/8/2016,0,0,0,0,29.5,32.6,27.7,9.4,31.3
17/8/2016,0,0,0,0,29.6,32.8,27.7,8.6,33.5
18/8/2016,0,0,0,0,30,33.3,27.6,10.1,38.5
19/8/2016,15.2,11,11.2,13.4,28.1,31.5,23.3,7.6,35.3
20/8/2016,0,0,0,0,29.2,32.7,27.1,9.4,27.7
21/8/2016,17.6,13.6,17.2,17.4,27.2,29.4,22.7,6.5,43.2
22/8/2016,0,0,0,0,29.2,31.7,27.7,7.6,27
23/8/2016,0,0,0,0,29.2,31.3,27.8,7.2,30.6
24/8/2016,44,20.6,34,42.6,27.7,30,23.6,9.7,44.6
25/8/2016,0,0,0,0,28.9,31.5,25.8,9.4,33.5
26/8/2016,0,0,0,0,29.3,32.7,25.9,7.6,30.2
27/8/2016,1.6,0.8,1.4,1.6,28.8,31.8,26.6,6.5,26.6
28/8/2016,0,0,0,0,29.2,32.9,27.2,7.2,24.5
29/8/2016,0,0,0,0,29.7,33,28,9.7,32
30/8/2016,16,11.6,13.2,14.8,27.3,29.3,24.4,5.8,38.5
31/8/2016,3.2,1.8,3.2,3.2,28,31.1,25.5,7.2,29.9
1/9/2016,6,2.4,4.2,5.6,26.8,30.8,23.7,4.3,18.4
2/9/2016,0,0,0,0,28.2,31,25.3,8.3,28.8
3/9/2016,0,0,0,0,29,31.9,26.7,8.8,32
4/9/2016,0,0,0,0,29,32.9,27.2,3.2,14
5/9/2016,0.2,0.2,0.2,0.2,28.4,30.4,26.6,4.3,23.4
6/9/2016,0,0,0,0,28.8,31.2,26.9,6.5,25.9
7/9/2016,8.6,4,4.4,4.6,27.4,28.6,23.9,7.6,32
8/9/2016,0,0,0,0,29.1,32,28,7.2,30.2
9/9/2016,1.2,1,1,1.2,27.9,32,25.7,5,28.8
10/9/2016,14.2,10.2,13.4,14.2,27,30,22.5,5.4,45.4
11/9/2016,0,0,0,0,28.6,32,26.1,6.5,32
12/9/2016,1.4,1.4,1.4,1.4,27.6,29,26.3,5.4,39.2
13/9/2016,0,0,0,0,29.1,32.8,26.5,6.5,23.8
14/9/2016,8.2,6,7,7,26.6,28.5,24.1,5.8,46.8
15/9/2016,0,0,0,0,28.9,32.3,25.9,5.4,18.4
16/9/2016,39.6,23.4,30,36.6,27.9,31.8,22,6.8,46.1
17/9/2016,0.2,0.2,0.2,0.2,28.9,31,25.2,4.7,34.2
18/9/2016,6.2,4.8,6,6.2,28.7,32.4,22.8,5.4,36
19/9/2016,51.6,36.8,49.2,51,28.2,30.5,24.8,5.8,34.9
20/9/2016,40,17.4,27.2,37.8,28.3,31.6,23.3,6.5,37.1
21/9/2016,2,1.8,1.8,1.8,28.7,32.1,25.9,6.8,28.8
22/9/2016,0,0,0,0,28.7,31.1,26.3,5.4,23.4
23/9/2016,0,0,0,0,29.2,32.4,26.8,6.5,27
24/9/2016,0.4,0.4,0.4,0.4,28.8,31.8,24.9,6.5,26.3
25/9/2016,6,5.8,6,6,28.7,31.7,24.3,5.4,22.7
26/9/2016,0,0,0,0,29.1,32,26.5,4.7,23.4
27/9/2016,0.2,0.2,0.2,0.2,28.8,31.5,27.1,4,18
28/9/2016,0,0,0,0,29.8,33.2,25.7,5.8,30.6
29/9/2016,0,0,0,0,29.7,33.7,27.2,6.5,29.2
30/9/2016,1.2,1.2,1.2,1.2,28.7,33,25,5,29.9
1/10/2016,0,0,0,0,28.1,30.7,25.6,5.4,36.7
2/10/2016,9,5.6,9,9,29.2,32.5,25.1,5.4,28.4
3/10/2016,4,1.6,1.6,2.2,27.9,30.6,23.2,5.8,36
4/10/2016,0,0,0,0,29.2,32.1,27.2,5.8,24.1
5/10/2016,0,0,0,0,29.2,31.6,27.4,5.4,26.3
6/10/2016,12.2,10.6,12.2,12.2,27.8,29.7,23.7,5,28.4
7/10/2016,37.2,18.8,20.8,22.4,26.1,28.3,24,4,12.2
8/10/2016,0,0,0,0,28.5,32.1,25.3,6.5,15.5
9/10/2016,1.4,0.8,1.2,1.2,28.4,31.6,24.5,5.4,14.8
10/10/2016,0.4,0.2,0.4,0.4,29.8,33.1,26.6,7.9,31
11/10/2016,0,0,0,0,30.5,33.7,28.2,9.7,32.8
12/10/2016,0,0,0,0,30,33.4,27.7,9.7,31.7
13/10/2016,0,0,0,0,29.7,31.4,28.3,7.6,33.8
14/10/2016,13.2,6,7.8,9.8,28.4,30.8,24.1,6.5,31
15/10/2016,0.2,0.2,0.2,0.2,29.5,33.2,26.8,6.1,26.6
16/10/2016,5,2.4,3,4.2,28.6,31.5,24.9,7.6,47.9
17/10/2016,0,0,0,0,29,30.5,28,6.5,42.5
18/10/2016,0,0,0,0,29.4,32.4,27.2,5.8,18.7
19/10/2016,4.8,3.2,4,4.6,27.6,30.2,23.2,5,40
20/10/2016,0,0,0,0,28.9,31.6,26.8,4.7,18
21/10/2016,0.4,0.2,0.2,0.2,28.8,31.5,25.7,5.4,25.6
22/10/2016,2.8,2.8,2.8,2.8,28.6,31.4,24.1,5.8,41.4
23/10/2016,0.4,0.2,0.4,0.4,28.4,31.3,26.9,4,25.2
24/10/2016,8.2,6.4,7.4,7.6,27.6,30.5,24.3,4,40.3
25/10/2016,30,15.4,17,20.2,26.6,31.1,23.3,5.4,33.5
26/10/2016,1.6,0.8,1.2,1.4,27.4,31.1,24.5,5,23
27/10/2016,22.6,16.6,19.2,19.4,26.5,29.7,23.6,5,42.5
28/10/2016,0,0,0,0,27.7,31.4,25.2,4.7,16.9
29/10/2016,41.8,19.4,22,22.8,27.2,30,23.2,5,37.4
30/10/2016,0.8,0.8,0.8,0.8,27.5,30.5,24.7,6.1,20.9
31/10/2016,0,0,0,0,28.7,32.5,26.4,5,21.6
1/11/2016,17.2,9.8,10.8,13.6,27.4,30.7,24.2,4.7,32.4
2/11/2016,15,13.6,14.2,14.6,27.3,30.1,23,5.8,42.5
3/11/2016,2,0.8,1.2,2,28,31.9,25.4,6.5,31
4/11/2016,6.6,4.8,5.4,6.4,28.1,30.7,25.1,5.4,31.7
5/11/2016,30.8,16.6,17.6,20.8,26.5,28.3,23.7,7.2,27.7
6/11/2016,1.2,1,1.2,1.2,28.5,31.5,25,6.8,40
7/11/2016,1.8,0.8,1,1.2,26.8,28.5,25.6,6.1,25.6
8/11/2016,0,0,0,0,28.7,32.4,25.9,6.8,17.6
9/11/2016,2,2,2,2,27.9,30.6,24.1,5.8,29.2
10/11/2016,2.2,2.2,2.2,2.2,27.8,30.3,25.4,6.1,22.7
11/11/2016,4.2,4.2,4.2,4.2,27.3,30.5,25.8,5.8,21.2
12/11/2016,0.2,0.2,0.2,0.2,28,31.5,25.7,5.8,25.2
13/11/2016,1.8,1.4,1.4,1.4,27.3,30.4,26,6.5,20.2
14/11/2016,58,21.4,36.2,48.2,25.5,27.3,23.4,6.5,29.9
15/11/2016,0,0,0,0,27.5,31.1,25,5.4,18.4
16/11/2016,40,23.2,27.2,36.4,26.6,29.1,23,6.1,34.6
17/11/2016,0,0,0,0,28,31,25.5,6.5,22.3
18/11/2016,5.8,5.4,5.4,5.6,28.1,31.7,26.2,5.4,18.7
19/11/2016,0,0,0,0,28.3,30.9,26.4,5.4,15.5
20/11/2016,0,0,0,0,28.8,32.8,27,5.4,20.2
21/11/2016,2.8,2.8,2.8,2.8,28.4,31.1,26.5,6.1,23.4
22/11/2016,9.4,9.2,9.2,9.2,27.4,28.7,24.9,5.8,29.9
23/11/2016,1.8,0.6,1,1.4,27.5,30.2,25,7.6,36.4
24/11/2016,0,0,0,0,28.3,31.4,26.7,6.5,24.8
25/11/2016,4.8,12.8,1.8,1.8,28,31.7,23.3,4.7,22
26/11/2016,117,3.6,27.6,0.4,30,32.5,25.1,6.5,22.7
27/11/2016,0.4,0.2,4.4,1.4,28.4,30.2,23.9,4.7,30.6
28/11/2016,3.6,3.8,3.6,1.4,29.9,31.4,26.8,6.1,22.7
29/11/2016,11.6,20.6,8.4,45.2,27.6,32.4,26.2,6.8,31.7
30/11/2016,35.2,23.2,1.2,1,29.6,33.9,27.7,3.9,46.5
1/1/2017,0,0,0,0,26.8,31.2,24.6,6.5,29.5
2/1/2017,0.4,0.4,0.4,0.4,26.6,29.4,25.8,6.5,20.5
3/1/2017,12.4,6.2,9.6,10.4,26.8,30.6,24.4,6.5,20.5
4/1/2017,0.8,0.8,0.8,0.8,27.5,31,24.1,5.8,33.5
5/1/2017,4.8,4,4.8,4.8,28.3,32.7,24.7,6.1,25.6
6/1/2017,0,0,0,0,28.7,31.7,26.4,5.4,22
7/1/2017,0,0,0,0,29.4,33.5,26.9,6.1,23
8/1/2017,0,0,0,0,29.2,32.9,26.6,6.1,22.7
9/1/2017,0,0,0,0,29,32.5,27.3,5.8,20.9
10/1/2017,0,0,0,0,28.8,33.8,27.1,6.1,26.3
11/1/2017,0,0,0,0,28.7,32.6,26.6,5.8,22.7
12/1/2017,0,0,0,0,28.5,31.9,26.2,5.4,20.9
13/1/2017,0,0,0,0,28.5,32.3,26.6,5.4,20.9
14/1/2017,0,0,0,0,28.1,30.2,26,5.8,19.4
15/1/2017,0,0,0,0,28.6,31.4,26.3,5.4,27.4
16/1/2017,0,0,0,0,28.5,31.8,25.8,6.8,31.3
17/1/2017,0,0,0,0,0,0,0,5.8,11.2
18/1/2017,0,0,0,0,0,0,0,6.1,25.2
19/1/2017,22.8,18.8,21.6,22.8,27.5,31.9,25.8,6.1,21.6
20/1/2017,2.8,2.8,2.8,2.8,0,0,0,8.3,33.8
21/1/2017,0.8,0.6,0.8,0.8,0,0,0,6.5,31.3
22/1/2017,51.6,29.2,44.2,47.6,0,0,0,5.8,27.4
23/1/2017,2.8,0.8,20.4,32.4,27.6,31.5,26.9,4.7,53.7
24/1/2017,5.6,2.4,25.2,18,29,34.1,25.5,9.7,41.1
25/1/2017,9.8,24.4,5.2,0.6,25,32.6,25.3,6.5,20.2
26/1/2017,7.6,4.2,2.8,4.8,28.7,32.6,24,7.9,22.6
27/1/2017,1.4,1.6,28.6,0.2,28.4,28.7,28,7.9,44.3
28/1/2017,3.2,8.5,9.8,7.8,26.6,33.3,26.3,6.3,29.8
29/1/2017,5.8,2.4,1,0.2,28.2,31.5,26.7,5.1,28.1
30/1/2017,2.2,4.6,11.8,0.2,28,33.4,25,7.9,27.7
31/1/2017,2.8,3.2,8.8,5,27.6,32.7,23.2,6.9,27.4
