Visitor_ID,Visitor_Engagement,Interaction_Rate,Wait_Time,User_Satisfaction,Overall_Experience
464,17,10,23,9,Poor
465,9,3,4,2,Poor
466,11,1,7,5,Average
467,5,5,9,6,Average
468,7,14,16,4,Average
469,6,9,27,4,Poor
470,13,14,25,4,Poor
471,14,1,8,2,Poor
472,19,3,21,4,Poor
473,10,13,18,1,Poor
474,14,13,28,6,Poor
475,7,4,13,1,Poor
476,12,14,7,10,Good
477,18,1,8,6,Good
478,12,1,21,1,Poor
479,6,8,10,6,Average
480,19,2,22,10,Poor
481,10,12,0,8,Good
482,11,8,13,2,Poor
483,6,7,4,2,Poor
484,19,10,20,4,Average
485,15,10,25,3,Poor
486,14,2,13,4,Average
487,6,6,3,7,Average
488,14,6,21,1,Poor
489,5,3,22,6,Poor
490,12,11,24,3,Poor
491,5,2,0,10,Average
492,13,12,21,7,Poor
493,15,1,22,10,Poor
494,10,6,18,2,Poor
495,11,12,7,2,Poor
496,17,5,14,4,Average
497,14,14,20,1,Poor
498,11,14,14,3,Poor
499,14,11,8,9,Good
500,7,9,20,7,Average
